SN,Title,Company,Experience,Salary,Description
0,AM-Analytics,Genpact,Not Specified,Not Specified,"With a startup spirit and 90,000+ curious and courageous minds, we have the expertise to go deep with the world&rsquos biggest brands&mdashand we have fun doing it. Now, we&rsquore calling all you rule-breakers and risk-takers who see the world differently, and are bold enough to reinvent it. Come, transform with us.Are you the one we are looking forWe are inviting applications for the role of AM, Power BI Developer! In this role, you are expected to be responsible for building and visualizing various offerings as requested by the clients on a regular basis. The individual must be an active contributor towards the overall objective of the project. We are looking for some who should be open to work in any shift as per the business requirement.ResponsibilitiesThe Role demands for a highly qualified professional who can provide guidance to direct reports typically comprising of first line managers and supervisors. Understand fundamentals of data preparation/data modelling necessary for the visualization purpose.Gather reporting requirements from various stakeholders, architect the solution/report, Understand/analyze the source data and deliver the reports in timely mannerStrong expertise in Designing intuitive and interactive reports and dashboards using Power BI for data driven decisions.Performance Monitoring, fine-tuning and optimization of dashboardsKnowledge on connecting to multiple data sources through Power BI is required.Experience in publishing and sharing the dashboards, scheduling data refreshes.Should have handled complexity around visualization or data.Should have strong SQL skills, preferably over SQL Server. Strong Data Warehousing and Business Intelligence concepts.Experience on any ETL tool preferably SSIS is a plus.Interpret written business requirements and technical specification documentsStrong understanding of Power BI user and group security configurationMinimum QualificationsBE/B- Tech, BCA, MCA, MBA, BSc/MScRelevant work experience (Knowledge of Ariba, SQL, VBA, MS-Access, Power BI, Cognos, R is desirable)Strong financial analytical skills and problem solving skills.Effective communicate in writing and verbally to senior management.Experience in balancing customer facing role and work assessments.Self-starter and have analytical, problem solving skillsAbility to balance customer governance meetingsPreferred qualifications Good conceptual knowledge and experience in other BI tools is an added advantageAble to nurture robust working relationships with the team, peers and clients, scheduling flexibility requiredOverall candidate should have problem solving, macro-level research and analytics approach and good in numbers.Good people and customer handling skills.Effective communication and interpersonal skill.Genpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin, citizenship status, marital status, military/veteran status, genetic information, sexual orientation, gender identity, physical or mental disability or any other characteristic protected by applicable laws. Genpact is committed to creating a dynamic work environment that values diversity and inclusion, respect and integrity, customer focus, and innovation. For more information, visit www.genpact.com. Follow us on Twitter, Facebook, LinkedIn, and YouTube."
1,Manager-Analytics,Genpact,Not Specified,Not Specified,"With a startup spirit and 90,000+ curious and courageous minds, we have the expertise to go deep with the world&rsquos biggest brands&mdashand we have fun doing it. Now, we&rsquore calling all you rule-breakers and risk-takers who see the world differently, and are bold enough to reinvent it. Come, transform with us.Are you the one we are looking forInviting applications for Snowflake DeveloperResponsibilities. Support the development of new Snowflake database modules based on the business requirement.. Work on enhancements to the existing database systems maintained by the Supply Chain Technology and Quality department of the client.. Support required in data engineering activities like troubleshooting, debug and fix the existing SQL Scripts in Snowflake.. Find trends in data sets and developing algorithms to help make raw data more useful to the enterprise.. Work closely with the client&rsquos IT teams based out of the US. Act in a secondary role to develop, maintain, and support other applications processes where required inclusive of already developed and new applications. Create and maintain optimal data pipeline architecture.. Assemble large, complex data sets that meet functional / non-functional business requirements. Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability. Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and Snowflake technology. Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency, and other key business performance metrics. Work with stakeholders (including the Executive, Product, Data) and Design teams to assist with data-related technical issues and support their data infrastructure needs. Create data tools for analytics and data scientist team members that assist them in building and optimizing our product. Work with data and analytics experts to strive for greater functionality in our data systemsQualifications we seek in you!Minimum Qualifications. B. E (Comp.Sc.)/M.C. A/M.Sc. (Comp. Sc) or equivalentPreferred Qualifications/Skills. Bachelor of Engineering /Master of Computer science/Application. Relevant work experience. Prior experience in dealing with quality data is desirable. Good technical knowledge. Good interpersonal skills . Good communication skills. Excellent technical knowledge of SQL and experience on cloud-based Datawarehouse like Snowflake . Should have hands-on exposure in writing complex SQL Scripts. Knowledge of database normalization. Exposure to SDLC modelsGenpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin, citizenship status, marital status, military/veteran status, genetic information, sexual orientation, gender identity, physical or mental disability or any other characteristic protected by applicable laws. Genpact is committed to creating a dynamic work environment that values diversity and inclusion, respect and integrity, customer focus, and innovation. For more information, visit www.genpact.com. Follow us on Twitter, Facebook, LinkedIn, and YouTube."
2,analytics consultant,Wells Fargo,2-5 years,Not Specified,"Job Description :About this role:Wells Fargo is seeking an Analytics Consultant...In this role, you will:Consult to Business Line and enterprise functions responsible for complex financial and economic research and model developmentUse specialized financial functional knowledge of complex financial products, pricing implications, regulatory standards, financial performance, financial forecasting to assist in designing robust models, and complex non-model quantitative tools that support strategic decision makingPerform analysis of findings and trends using statistical or financial analysis, modeling, process documentation, profitability analysis, customer, or demographic analysisRecommend solutions to increase revenue, reduce expense, maximize operational efficiency, quality, and complianceIdentify and define business requirements and translate business needs into moderately complex research and recommendations to improve efficiencyDesign and implement database structures or software tools in support of effective data sourcing strategiesParticipate in all group technology efforts including design and implementation of analytics software, storage and processing of mortgage loan level data, and management of hardware and database requirementsDevelop customized reports, ad hoc analyses, or data visualizations to make recommendations for alternativesTranslate regulatory defined stress test scenarios into model parameters, evaluate results of stress test results and interpretation of model output, and advise more experienced management on course of actionProvide guidance to less experienced specialistsUnderstand compliance and risk management requirements for supported areaEnsure adherence to data management or data governance regulations and policiesParticipate in company initiatives or processes to assist in meeting its risk and capital objectives and other strategic goalsWork with more experienced consultants or directly with partnersPartner with technology or with other business groupsRequired Qualifications, US:2+ years of Analytics experience, or equivalent demonstrated through one or a combination of the following: work experience, training, military experience, educationRequired Qualifications, International:Experience in Analytics, or equivalent demonstrated through one or a combination of the following: work experience, training, military experience, education@RWF22Desired Qualifications:Job Expectations:We Value DiversityAt Wells Fargo, we believe in diversity, equity and inclusion in the workplace accordingly, we welcome applications for employment from all qualified candidates, regardless of race, color, gender, national origin, religion, age, sexual orientation, gender identity, gender expression, genetic information, individuals with disabilities, pregnancy, marital status, status as a protected veteran or any other status protected by applicable law.Employees support our focus on building strong customer relationships balanced with a strong risk mitigating and compliance-driven culture which firmly establishes those disciplines as critical to the success of our customers and company. They are accountable for execution of all applicable risk programs (Credit, Market, Financial Crimes, Operational, Regulatory Compliance), which includes effectively following and adhering to applicable Wells Fargo policies and procedures, appropriately fulfilling risk and compliance obligations, timely and effective escalation and remediation of issues, and making sound risk decisions. There is emphasis on proactive monitoring, governance, risk identification and escalation, as well as making sound risk decisions commensurate with the business unit's risk appetite and all risk and compliance program requirements.Candidates applying to job openings posted in US:All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.Candidates applying to job openings posted in Canada: Applications for employment are encouraged from all qualified candidates, including women, persons with disabilities, aboriginal peoples and visible minorities. Accommodation for applicants with disabilities is available upon request in connection with the recruitment process."
3,Strategic Analytics,JP Morgan Chase & Co.,10-13 years,Not Specified,"Responsibilities . This role will be responsible for synthesizing analytical findings for consumption by the teams and senior executives, and articulating analytical findings in clear and concise deliverables, including presentations, discussions, and visualizations  Eligibility: Qualifications: . 10+ years of relevant work experience . Have technical skills like AI/ML, Data Science, SAS, SQL, and Python . Have people leading experience for atleast 4 years . Good project managing skills . Minimum Qualification Education: MSc Statistics/Mathematics/Economics/ BTech/ MTech or equivalent Engineering Discipline from a reputed Institute. Ideal candidates would be able to do the following: . Be results-oriented with strong attention to detail and problem-solving skills . Possess strong communication, interpersonal skills, and leadership potential . Demonstrate they are customer-obsessed by understanding the customer experience . Have a proven ability to operate in a process-oriented environment, adhere to risk/control, procedure and process expectations, while appropriately delivering what's best for the customer. Preferably has experience of working on Cards Marketing or Pricing domain."
4,BA- Analytics,Genpact,Not Specified,Not Specified,"With a startup spirit and 90,000+ curious and courageous minds, we have the expertise to go deep with the world&rsquos biggest brands&mdashand we have fun doing it. Now, we&rsquore calling all you rule-breakers and risk-takers who see the world differently and are bold enough to reinvent it. Transformation happens here. Come, be a part of our exciting journey!Are you the one we are looking forInviting applications for the role of Developer & FLM - BA, Oracle, Hive, Impala, SSRS/SSIS, MicroStrategy, Power BI!This area is a key function within the Bank, producing regular reporting and harnessing data by working closely with multiple areas, to help provide data insight to improve both the customer and colleague experience.ResponsibilitiesManage and administer internal databases and undertake DBA activitiesDevelop, document, and maintain support processes, procedures and solutionsShare knowledge and best practicesAssist and support other areas of the business to meet business demandsImplement and embrace new processes Scheduled delivery of reports and other solutions to meet customer needsWork in line with internal control and governance practiceAwareness and understanding of business impact of data controls and criticality on operations for any related failuresResolution of incidents to ensure timely fixes and tactical improvements to all internal systemsSupport the internal infrastructure to provide accurate & timely data from core systemsSupport front-end dashboards to enable operations to utilize them for decision-making and analysisDevelopment of improvements to internal systems, processes, and monitoring tools.Qualifications we seek in you!Minimum QualificationsGraduation Degree or equivalent level qualificationPreferred Qualifications/ SkillsAdvanced Impala/Hive SQL skillsIntermediate SQL - T-SQL, Oracle, DB2Intermediate SSRS / SSISKnowledge of T&BI systemsMicroStrategy / PowerBIDatabase design and developmentBasic knowledge of Kimball & data modellingAdvanced Excel & AccessBasic scripting (batch, .NET, VBA, Powershell)Data ethics and understanding of data management in a regulated environmentCommunication with key stakeholdersBasic project management including Agile knowledgeGenpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin, citizenship status, marital status, military/veteran status, genetic information, sexual orientation, gender identity, physical or mental disability or any other characteristic protected by applicable laws. Genpact is committed to creating a dynamic work environment that values diversity and inclusion, respect and integrity, customer focus, and innovation. For more information, visit . Follow us on , , , and ."
5,analytics-4b,Genpact,Not Specified,Not Specified,"With a startup spirit and 90,000+ curious and courageous minds, we have the expertise to go deep with the world&rsquos biggest brands&mdashand we have fun doing it. Now, we&rsquore calling all you rule-breakers and risk-takers who see the world differently and are bold enough to reinvent it.Transformation happens here. Come, be a part of our exciting journey!Are you the one we are looking forInviting applications for the role of Data Governance Analyst!In this role, you will support the evaluation of healthcare clients data governance maturity and work with stakeholders to develop strategies to increase that maturity.You will support teams in the development of analytics assets, bringing your data governance expertise to the end-to-end process.Responsibilities. Increase healthcare organizations data governance maturity to create data assets more supportive of business goals.. Develop expertise of clients data, data flows, gaps, and processes, document that knowledge, and articulate it to stakeholders.. Align stakeholders regarding data models, definitions, and strategies.. Support the standardization of a data governance model to enable data quality and integrity across internal and external datasets.. Support the establishment of data governance best practices and carry these through to operationalization.. Train producers and consumers of healthcare data on data governance procedures and best practices.Qualifications we seek in you!Minimum Qualifications. Bachelor&rsquos degree in STEM.. Experience with data governance in the healthcare provider space.. Familiarity with healthcare reference data.. Strong understanding of healthcare databases and data structures.. Experience with data governance best practices, data evaluation, process design, implementation, and improvement.. Familiarity with data governance tools.. Demonstrated experience managing multiple stakeholders.. Demonstrated experience identifying, quantifying, and calling out potential business risks linked to data quality and compliance.. Technological requirements: Epic, SQL, Python.Preferred qualifications. Familiarity with Oracle, SAS, or R.Genpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin, citizenship status, marital status, military/veteran status, genetic information, sexual orientation, gender identity, physical or mental disability or any other characteristic protected by applicable laws. Genpact is committed to creating a dynamic work environment that values diversity and inclusion, respect and integrity, customer focus, and innovation. For more information, visit www.genpact.com. Follow us on Twitter, Facebook, LinkedIn, and YouTube."
6,PD-Analytics,Genpact,Not Specified,Not Specified,"With a startup spirit and 90,000+ curious and courageous minds, we have the expertise to go deep with the world&rsquos biggest brands&mdashand we have fun doing it. Now, we&rsquore calling all you rule-breakers and risk-takers who see the world differently, and are bold enough to reinvent it. Come, transform with us.Come, be a part of our exciting journey!Inviting applications for the role of Process Developer, Order ManagementInteraction:. Collaborates inside the company with members of the same team or other teams in order to accomplish the allocated tasks. Collaborates outside the company with client representatives, within the authority limits allocated by the process operating procedures or direct manager as well as with freight forwarders, warehouses, logistic service providersActivities:. Booking and validation of Orders in the ERP system and corresponding adaptation of Contracts in the ERP. Handling customer / sales requests. Ensure resolution to customer requests for any queries on Contracts / order status and billing/invoicing corrections. Follow-up on pending items with Logistics / Supply chain team for order delivery status & with PSI. Reporting. Providing information to customers via e-mails/phone. Updating ERP regarding customer details, order details, supplies, pricing etc.. Gathering information from logistics partners. Informing customers regarding availability and deliveries. Creating orders (SOs) in the ERP system and updating the Contract details once the orders are delivered / installed. Offering resolutions for internal updating requests: credit/ debit notes, reimbursements, etc.. Building relation with clients and sales representatives and becoming a point-of-contact for Customer / Sales inquiries. Coordinate with Service technicians, Logistics teams, and Sales to ensure the right delivery, installation, and confirmation to customers for the orders placed. Checking and solving potential issues between client purchase orders (PO) and system information. Communicating with the warehouse and forwarders and efficiently manage the delivery process to ensure return of goods to the final recipient. Preparing the relevant documents for the orders (export, transport, customs). Monitoring the assigned orders and exceptions validations. Proper categorization of customer issues in the system and corresponding responses on ERP systems for various disputes arising from customers in terms of damaged goods, shipment delayed, etc.. Gather details from customers for proper invoicing and ensure to have complete the billing / invoicing on-time as per the contractual agreements. Administration of customer contracts i.e. update contracts, fixed and variable billing computation as per contact terms. Work with Local markets to gather rights details or resolutions and manage escalations, any problems, delays, inconsistencies, etc.. Archival of the right set of documents for audit and compliance purposes. Proposing resolution for streamlining activities and taking part in projects to implement these ideasOther responsibilities. Successfully graduating the training plan attached to the position and the tasks. Updating the working procedures periodically. Training other team members whenever necessary and requested by the manager. Maintain and develop relationships with relevant markets and client serviced by team and all major customers within those markets as appropriate. Find opportunities for continuous process improvement and innovative solutions and communicate to direct managerQualifications we seek in you!Required Qualifications. University graduateWork experience. Industry Experience - Services or hi-tech industryProcess/Domain Experience:. Contract Administration. Quote to cash process and sales administration. Coordination with Logistics / Supply chain teams. Dispute Management. Customer Master Data Set Up. Pre-Sales & Post-Sales SupportOther Preferences:. Knowledge on Logistics & Returns, Allocations, Material management, Contract Management, Credit & Debit, Warehouse follow up, Inbound & Outbound Accrual Freight Report, Consolidated reports for logistics. Project based billing collation and computation Experience of handling and coordinating contracts. Understanding of general leasingGenpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin, citizenship status, marital status, military/veteran status, genetic information, sexual orientation, gender identity, physical or mental disability or any other characteristic protected by applicable laws. Genpact is committed to creating a dynamic work environment that values diversity and inclusion, respect and integrity, customer focus, and innovation. For more information, visit www.genpact.com. Follow us on Twitter, Facebook, LinkedIn, and YouTube."
7,Executive Administrator,Latent View Analytics Private Limited,0-3 years,Not Specified,"Coordinate with security for visitor management and maintenance of front office records as per ISO standards.  Processing, issuing, and maintaining records of printing jobs (id cards, visiting cards, letterhead, registers, etc.).  Addressing employee Admin-related helpdesk tickets (stationery, maintenance, housekeeping, etc.) Assisting the Admin Team in managing Cafeteria Services. Maintain the stock of consumables and prepare the monthly indent.  Maintain the office decor and supervise housekeeping staff. Assist the Admin Team in organizing events, meetings, conferences, and hotel bookings for guests and clients.  Monitoring and maintaining biometric and CCTV backup records as per ISO standards.  Other than the above-mentioned, coordinating and assisting in all Admin-related matters as and when required."
8,Manager  -  Data Science,Latent View Analytics Private Limited,5-15 years,Not Specified,#NAME?
9,Risk Analytics,Motilal oswal,2-5 years,Not Specified,"Job Description :Risk Analysis, work on portfolio data cuts to provide meaning ful insights, share required data with Treasury, accounts and Finance, development of Portfolio Quality Report"
