SN,Title,Company,Experience,Salary,Description
0,Opening for Account Executive,Karishma Marine Solutions Private Limited,1-4 years,360000 - 400000 INR,"Requirements: 	Minimum 2  4 years of experience as an Accounts Assistant. 	Knowledge of working on Tally. 	Good command over Microsoft Excel with running all Formulas, Pivots, Macros, etc, 	MS Word, PowerPoint, Outlook, with a tendency to learn new software, 	Must know Tally Software"
1,Architect Interior Designer Furniture Designer,I2canz Outsourcing Private Limited,2-10 years,2550000 - 3550000 INR,"Architect Architectural standards specialist Chief architect Consulting architect The industrial and commercial building's architectResidential architect Main duties This group performs some or all of the following duties: Consult with clients to determine the type, style and purpose of renovations or new building construction being considered Conceptualize and design buildings and develop plans describing design specifications, building materials, costs and construction schedules Prepare sketches and models for clients Prepare or supervise the preparation of drawings, specifications and other construction documents for use by contractors and tradespersons Prepare bidding documents, participate in contract negotiations and award construction contracts Monitor activities on construction sites to ensure compliance with specifications Conduct feasibility studies and financial analyses of building projects. Architects may specialize in a particular type of construction such as residential, commercial, industrial or institutional."
2,Video Editor,Sakhsham Knowledge Services Private Limited,1-3 years,200000 - 350000 INR,"About the Client:Our client is a leading global multimedia software vendor platform with 20+ years and millions of users under its belt already. Their software is a leading name in its category across both android and iOS platforms. They are one of the most well-known and respected industry names and the work we do is fueling their growth plan.Key Responsibility Areas (KRAs):Be able to work with a wide range of input media including stocks, sounds, images, etc.Deliver creativity while being focused on quality and deliverables.Extrapolate feedback received from the client for one assignment onto other assignments.Be able to think for and cater to an international audienceBe able to work, contribute, and grow in a team environmentRequirements:A bachelor's degree or equivalent with specialist skills in video editing is required.Well-versed in all aspects of video editing such as stocks, sounds, layers, graphics, animations, etc.Editing software experience, such as Adobe After Effects, Final Cut Pro X, Avid Media Composer, Lightworks, and Premier.Candidates with additional skillsets such as motion graphics, graphic design, and copywriting, will be preferred.Candidates with significant provable experience in creating ad films, animations, and digital promo films will be preferred.Basics:5 vacancies are open for hire. Immediate joining.Remuneration: Inline with industry standards, qualifications and experienceLocation: Work From Office onlyExpectation: 2+ years commitment to the role to make the engagement meaningfulThis would be a full-time position with an exclusive engagementProbation: First 3 months, followed by performance-based confirmation"
3,UI Designer,Silverlink Technologies Private Limited,8-12 years,Not Specified,"Hi , This is Selciya from Silverlink Technologies. We have an excellent job opportunity with TCS for the post UI Designer at Pune,Mumbai,Delhi,Bangalore  Location If interested kindly forward me your word formatted updated profile ASAP on [Confidential Information] Please Fill the mandatory details Full Name: Pan Card No: Mail Id: Date of Birth: Role : UI Designer1.	Knowledge of UCD principles  2.	Adobe XD, Sketch, Figma, & Adobe Creative Suite 3.	Knowledge of design software's including Adobe suite & others 4.	Ability to visualize the objects of a project and determine the steps and processes to bring them to life Exp: 6+ Years Mode: Permanent Location: Pune,Mumbai,Delhi,BangaloreInterview Mode: Any"
4,ugent opening for AWS,T & M Services Consulting Private Limited,8-10 years,Not Specified,"As discussed, ITC InfoTech is hiring for position of AWS for full time for Bangalore location.Experience in Cloud Service/Serverless AWS  Lambdas, Step Functions, ECS,EC2, S3, Fargate, CloudFormation, CloudWatch, API Gateway, Dynamo DB, Elastic Search, SQS/SNS, Microservices, Circuit Breakers,Experience : 8 10 yearsWork Location : BangaloreBudget : max 20-30 LPANotice Period : Immediate to 15 daysAre you interested If yes!Please find the below Job DescriptionRole & Responsibilities: 1.	Producing solution designs and implementing plans for cloud-based AWS and on-premise API management solutions and infrastructure; incorporating innovative solutions into designs.2.	Collaborating with cross-team members of the technology organization to develop API's (I.e. REST, SOAP) to expose metadata to end-users.3.	Lead the team to mature internal API development and management best practices working in conjunction with Strategy & Architecture.4.	Manage full-cycle web application development using Agile approach with feedback cycle of design, develop, present, feedback and iterate.5.	Establish monitoring key metrics necessary to understand and maintain performance of overall API traffic i.e. volume, availability, throughput and health.6.	Participate in Performance testing to make API more efficient.7.	Discover and capitalize on automation opportunities that provide business value.8.	DocumentationKey Skill Sets	Experience in Cloud Service/Serverless AWS  Lambdas, Step Functions, ECS,EC2, S3, Fargate, CloudFormation, CloudWatch, API Gateway, Dynamo DB, Elastic Search, SQS/SNS, Microservices, Circuit Breakers,	Node.js, Java	Springboot framework	Database Concepts KnowledgeDynamoDB, MongoDB, Oracle. (NoSQL)	Vue.js / React.js for UI development 	Knowledge on API Tools preferable: Apigee	Knowledge of DevOps tools & GitHub	Understand API interface tools  Swagger, Postman	Data Consuming Technology: REST, SOAP	Unit Testing in JEST framework. Helping in automation of test cases.	Observability, Knowledge of logging mechanisms  Splunk	Worked in Agile tools like Version One, JIRAEngineering Principals	Resource should be able to adopt following principals in his role.o	Everything as Code (Automated Test Case, Deployment)o	New Development is Cloud Native and Scalableo	One team owns a solution End to End,o	Frequent Demos and Continuous user feedback o	Observability everywhere o	Documentation o	Security is built in at the starto	API Driven for all solutionsCertifications- 	AWS Certified Developer- associate, 	AWS certified solution architect"
5,Graphic Designer - Australia,A V Immigration And Careers Consultancy Private Limited,5-10 years,Not Specified,"Tasks determining the objectives and constraints of the design brief by consulting with clients and stakeholders.undertaking research and analysing functional communication requirements.formulating design concepts for the subject to be communicatedpreparing sketches, diagrams, illustrations and layouts to communicate design concepts.negotiating design solutions with clients, management, sales and production staff.selecting, specifying or recommending functional and aesthetic materials and media for publication, delivery or display.detailing and documenting the selected design for production.supervising or carrying out production in the chosen mediamay archive information for future client use."
6,Video Editor,Navis Human Resources Private Limited,2-7 years,320000 - 660000 INR,"Assembling raw footage and transferring or uploading to a computer Following a script, screenplay or outline Inputting sound to enhance footage, which may include selecting music and writing voice-overs Inputting graphics to enhance footage Digitally splicing film and video and synchronizing them into one rough cut file Improving and correcting lighting, coloring and faulty footage Working closely with directors to present a final product that matches his or her vision"
7,Software Test Engineer  - BE Mechanical / Civil / ECE / EEE Commerce,Fazo Software,Fresher,270000 - 900000 INR,"Greetings Dear job Seekers.- Great opportunityfor BE -Mechanical / Civil / ECE / EEE & Commerce - No problem if your from any year passed out.Requirements :-Should be good in communication at leastdecent level.Average to Strong Knowledge in software ( Java / .NET & Software Testing )If your from any year passed out no problem.Salary post selection will be 18000 - 27000 per month.Location : Chennai & Bangalore.If weak in technical, candidates will be having training.Regards. HR Team. TamilSelvi - 6374808456 Vinothini - 8072712418  (WhatsApp your resume )"
8,Data Entry Operator l Back Office l Work From Home Jobs,Apex Trading & Softech Solutions,0-5 years,110000 - 240000 INR,"1) Typing speed and accuracy should be maintained. 2) Candidate has to maintain Company Data Base in software. 3) Typing speed should be minimum 20 WPM to 25 WPM. 4) Should have own PC/Laptop at Home. 5) Should be available to work from Home for company. 6) Flexible towards the working environment. Requirement For Candidate's profile: 1) Any Degree / Diploma / 10th / 12th Pass out. 2) Basic Typing Knowledge must be required. 3) Anyone can work as Part Time or Full Time. 4) Experience, Fresher both can apply. 5) Flexible Shift and all facility available. 6) Retired, Housewife, Student are Welcome. 7) Shift Timing: Can work anytime in a day. Note: Candidate should have Enough Time (6 to 7 hrs.) to work."
9,Computer Operator | Data Entry Operator l Work From Home Jobs,Apex Trading & Softech Solutions,0-5 years,110000 - 240000 INR,"1) Typing speed and accuracy should be maintained. 2) Candidate has to maintain Company Data Base in software.3) Typing speed should be minimum 20 WPM to 25 WPM. 4) Should have own PC/Laptop at Home.5) Should be available to work from Home For company. 6) Flexible towards the working environment. Requirement For Candidate's profile: 1) Any Degree / Diploma / 10th / 12th Pass out. 2) Basic Typing Knowledge must be required. 3) Anyone can work as Part Time Or Full Time. 4) Experience, Fresher both can apply. 5) Flexible Shift and all facility available. 6) Retired, Housewife, Student are Welcome. 7) Shift Timing: Can work anytime in a day. Note : Candidate Should have Enough Time ( 6 to 7 hrs. ) to work. For More Details Contact / Whats app @ 9903990528"
