SN,Title,Company,Experience,Salary,Description
0,Relationship Manager - Branch Banking-BRANCH BANKING-Branch Banking,Kotak Mahindra Bank Limited,3-5 years,Not Specified,JOB ROLE :.Develops new and expands existing High Net worth Customer relationships for liabilities by sourcing customers. .Sources new bank customers through external individual efforts and acquisition channel. .Cross sells bank products to existing set of Branch customers which are mapped. .Informs customers of new products or product enhancements to further expand the banking relationship. .Plans and conducts special sales initiatives and events for prospective and existing clients. .Coordinates with other group companies to provide seamless access to other products. .Maintains complete relationship record for assigned customer accounts. .Tracks customer complaints/queries and turnaround times for customer satisfaction JOB REQUIREMENT:.Graduate - 3 -5 years of experience .Post Graduate - 2 -3 years of experience .Customer orientation .High energy and drive AMFI / IRDA certified is preferred
1,Authoriser-Branch Banking-BRANCH BANKING-Branch Banking,Kotak Mahindra Bank Limited,5-8 years,Not Specified,"JOB ROLE :.Responsible for servicing any walk-in customers of the bank irrespective of the segment/mapping. .Regular generation of leads for New To Bank- customer and cross sell various products like TD/MF/ CASA/Gold. .Ensuring regulatory and procedural compliance .To co-ordinate the audit of the branch .Ensuring service excellence to enhance portfolio, control retention and better cross sell .Authorize and check RO / SO entries .Check end products .Check vouchers to clear transactions of Rs. 10 lakhs & above .Vault / Key custodian JOB REQUIREMENT:.MBA/Graduate .Minimum work exp. - 5 years .Customer service oriented .Meticulous .Eye for details .Ability to manage and motivate front office staff. .Thorough overall understanding of banking .Graduate/MBA .Graduates with 5-8 years experience Should possess customer orientation and team leader qualities"
2,Authoriser-Branch Banking-BRANCH BANKING-Branch Banking,Kotak Mahindra Bank Limited,5-8 years,Not Specified,"JOB ROLE :.Responsible for servicing any walk-in customers of the bank irrespective of the segment/mapping. .Regular generation of leads for New To Bank- customer and cross sell various products like TD/MF/ CASA/Gold. .Ensuring regulatory and procedural compliance .To co-ordinate the audit of the branch .Ensuring service excellence to enhance portfolio, control retention and better cross sell .Authorize and check RO / SO entries .Check end products .Check vouchers to clear transactions of Rs. 10 lakhs & above .Vault / Key custodian JOB REQUIREMENT:.MBA/Graduate .Minimum work exp. - 5 years .Customer service oriented .Meticulous .Eye for details .Ability to manage and motivate front office staff. .Thorough overall understanding of banking .Graduate/MBA .Graduates with 5-8 years experience Should possess customer orientation and team leader qualities"
3,Relationship Manager - Branch Banking-BRANCH BANKING-Branch Banking,Kotak Mahindra Bank Limited,3-5 years,Not Specified,JOB ROLE :.Develops new and expands existing High Net worth Customer relationships for liabilities by sourcing customers. .Sources new bank customers through external individual efforts and acquisition channel. .Cross sells bank products to existing set of Branch customers which are mapped. .Informs customers of new products or product enhancements to further expand the banking relationship. .Plans and conducts special sales initiatives and events for prospective and existing clients. .Coordinates with other group companies to provide seamless access to other products. .Maintains complete relationship record for assigned customer accounts. .Tracks customer complaints/queries and turnaround times for customer satisfaction JOB REQUIREMENT:.Graduate - 3 -5 years of experience .Post Graduate - 2 -3 years of experience .Customer orientation .High energy and drive AMFI / IRDA certified is preferred
4,Service Officer-BRANCH BANKING-Branch Banking,Kotak Mahindra Bank Limited,Not Specified,Not Specified,"JOB ROLE :.Redress customer needs pertaining to cash, DDs, cheque deposits, general information. .Speed and accuracy of transaction. .Exploitation of other business opportunities sensed. .Providing quality of experience that will ensure retention and positive word-of-mouth. JOB REQUIREMENT:.Should have handled SO profile MBA/Graduate"
5,Relationship Manager - Business Banking-BRANCH BANKING-Branch Banking,Kotak Mahindra Bank Limited,4-5 years,Not Specified,"JOB ROLE :.Develops new and expands existing High Net worth Customer relationships for liabilities and commercial assets. .Ensures high levels of customer service orientation and application of bank policy. .Cross sells existing bank products to customers. .Informs customers of new products or product enhancements to further expand the banking relationship. .Plans and conducts special sales initiatives and events for prospective and existing clients. .Coordinates with other group companies to provide seamless access to other products. .Maintains complete relationship record for assigned customer accounts. .Tracks customer complaints/queries and turnaround times for customer satisfaction JOB REQUIREMENT:.4 to 5 years work experience .Developing and maintaining banking relationships with a select group of high net worth customers through individualized customer service. .Very good understanding of Trade and Forex. .Very good understanding of Commercial Assets like CC, OD, TL, Export Finance etc .Understanding of MF and Insurance an added advantage Customer orientation, .High energy and drive. .Go getter attitude. Self motivated with a passion to achieve."
6,Relationship Manager - Business Banking-BRANCH BANKING-Branch Banking,Kotak Mahindra Bank Limited,4-5 years,Not Specified,"JOB ROLE :.Develops new and expands existing High Net worth Customer relationships for liabilities and commercial assets. .Ensures high levels of customer service orientation and application of bank policy. .Cross sells existing bank products to customers. .Informs customers of new products or product enhancements to further expand the banking relationship. .Plans and conducts special sales initiatives and events for prospective and existing clients. .Coordinates with other group companies to provide seamless access to other products. .Maintains complete relationship record for assigned customer accounts. .Tracks customer complaints/queries and turnaround times for customer satisfaction JOB REQUIREMENT:.4 to 5 years work experience .Developing and maintaining banking relationships with a select group of high net worth customers through individualized customer service. .Very good understanding of Trade and Forex. .Very good understanding of Commercial Assets like CC, OD, TL, Export Finance etc .Understanding of MF and Insurance an added advantage Customer orientation, .High energy and drive. .Go getter attitude. Self motivated with a passion to achieve."
7,Relationship Manager - Business Banking-BRANCH BANKING-Relationship Management,Kotak Mahindra Bank Limited,Not Specified,Not Specified,"Role:. Sourcing of New to Bank business banking accounts & Managing the Business Banking portfolio assigned . Assisting the client's business with different business banking products like OD/CC/ BG/Term Loans/Forex/etc . Cross sell of Liability based products liked Fixed Deposit, savings account to the portfolio clients . Maintaining the service standards set by the bank in collaboration with the service support team . Maintain Co-ordial relationships with internal stakeholder and external agencies to generate leads for New to bank Clients. Job Requirement:. Ability to source High Value Business Banking Accounts . Thorough knowledge of Current Account/Trade Account opening/transaction processes . Strong Communication skills with assertive attitude . Knowledge of Trade, Forex and Business Assets . Strong follow up ability & keenness . Ability to spot opportunities in the portfolio for Upselling/Xselling bank products"
8,Bank Managers Hiring,Roundworld Immigration Private Limited,3-8 years,4000000 - 6000000 INR,"Prepares financial statements and analysis for branchManages and supervises department employees; responsible for day-to-day supervision and leadershipMaintains and oversees all banking procedures and processesRecruiting, vetting, interviewing, and hiring new employeesOverseeing approvals of loans, lines of credit, and other fiscal plansAssisting with customer service and satisfactionMarketing branch within the community to attract businessRecords and researches all financial information for analysisOversees budget reports, preparation of budgets, and analysis of budgetsDocuments and interprets complicated financial information for bank clientsAdvises on procedures and financial management as well as developing policiesOversees financial reports for taxes, regulatory agencies, and other financial groups relating to branch financeForecasts and plans according to fiscal needsGrowing banks number of accounts"
9,PA- Banking,Genpact,Not Specified,Not Specified,"With a startup spirit and 90,000+ curious and courageous minds, we have the expertise to go deep with the world&rsquos biggest brands&mdashand we have fun doing it. Now, we&rsquore calling all you rule-breakers and risk-takers who see the world differently and are bold enough to reinvent it.Transformation happens here. Come, be a part of our exciting journey!Are you the one we are looking forInviting applications for the role of Senior Process Associate - Quality Analyst, Trust and Safety!In this role, you will lead the continuous improvement process on Quality related metrics for the assigned set of moderators/team, by first & foremost being an in-house specialist of the process & policies, conducting a variety of Quality Assurance tasks which include transaction review, random audits, provide coaching & feedback to agents, engage in Calibrations, Root Cause Exercise & contribute their assigned part on action plansResponsibilities. Ability & willingness to review and moderate the platform (periodically) on the base of policies, processes, and guidelines. Provide actions & reasons on each decision/transaction. Review and investigate 3D, visual, graphic, audio, and text content for violation of policies and guidelines. (For example, slurs, cuss words, adult content, etc.). The role also involves moderating content of egregious nature.. Review/Audit moderator&rsquos transactions (action & reasons) to provide expert opinion on whether the transaction is, in compliance with policies & process. Conduct coaching & feedback for moderators. Help moderators improve their quality performance. Engage in appeals process with moderators, team leaders & client stakeholders. Ensure, self-expertise of the subject matter (process updates, policies, Quality Team&rsquos Standard Operating Procedure). Indulge in nurturing new hires & tenured bottom performers, via additional audits & actions to provide the hypercare required to improve quality performance. Contribute towards the process of &lsquodefine, update, innovate the quality frameworks to meet client expectations and raising the bar, continuously on Quality.. Implementation and effective usage of different Quality Check Tools, best practices, and procedures.. Contribute towards overall process improvement ideas, insights, and projects to enhance process&rsquos key performance indicators & value adds. Accountable for performance standards for the assigned set of moderator&rsquos Quality Performance benchmarks & continuous improvement in a weekly/monthly manner. Responsible to partner & contribute on classroom training delivery with respective team leader or training specialists. Also engage in refresher training as per training need identifications & action plans for continuous improvementQualifications we seek in you!Minimum Qualifications. Any graduate. Interest in playing PC games and good acumen towards gaming terminologies, new-age gaming world & Industry. Relevant Years of Experience working as an Agent/Reviewer/Moderator in a Trust & Safety Process (content moderation/review/labelling). Good communication (Minimum B2 proficiency as per CEFR on English/Marketplace being hired for) & excellent interpersonal skills. Ability to comprehend the dynamic nuances in the gaming world. Flexibility in working hours & shifts. Prior understanding & exposure towards quality process (audits, coaching & feedback, sampling & reporting). Proficient on MS Office Tools (Excel, Word, PowerPoint etc ). Attention to detail, nature of being thorough & meticulous in their workPreferred Qualifications/ Skills. Relevant Years of experience as a subject matter expert/coach or quality auditor in their previous stint/organization. Worked in more than 1, trust & safety process/account in their previous organization. Prior experience of people/multiple stakeholder interactionGenpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin, citizenship status, marital status, military/veteran status, genetic information, sexual orientation, gender identity, physical or mental disability or any other characteristic protected by applicable laws. Genpact is committed to creating a dynamic work environment that values diversity and inclusion, respect and integrity, customer focus, and innovation. For more information, visit www.genpact.com . Follow us on Twitter, Facebook, LinkedIn, and YouTube."
