SN,Title,Company,Experience,Salary,Description
0,Java,Tata Group,15-18 years,Not Specified,"We have an urgent opening for Java Developer with MicroservicesJob Title :Java Developer Location: PAN INDIAExperience Range: 03-10 Job DescriptionTCS has been a great pioneer in feeding the fire of youngTechies like you. We are a global leader in the technology arena and there's nothing that can stop us from growing together.As an Analyst, you will specialize in requirement gathering and to analyze the same in respective areas. Your role is of key importance, as it lays down the foundation for the entire project. Required Skill Set:Must Have: Java, J2EE, Spring boot, Spring, Microservices, REST APIs & JSON.Good to have: DevOps & AWS.Minimum Qualification:15 years of full-time educationMinimum percentile of 50% in 10th, 12th, UG & PG (if applicable) Candidate-s wh ose candidature has been already processed through vendor pls don-t apply."
1,java,TATA Consultancy Services Ltd.,3-10 years,Not Specified,job description is not available for this job
2,Java,ValueLabs LLP,5-8 years,Not Specified,". Java , Sprinboot, Microservices, Rest APIResponsibilities Technical Skills . Extensive coding experience with JAVA (1.8 and above) and J2EE technologieswith SOLID principles and have passion for coding . Hands on experience in SQL and PL/SQL . Hands on experience in Weblogic , JBoss Application Servers . Good hands on Server side programming and exposure to servlets 3.0, session handling and JSP . Good understanding on Collection framework and concurrency . Good exposure on databases such as Oracle/MSSQL/MYSQL/POSTGRES . Excellent hands on frameworks such as struts (mvc)/spring( mvc and dependency injection) . Exellent hands on ORM frameworks such as Hibernates/Mybatis . Familiar with Distributed services resiliency and monitoring in a production environment.  Requirements Experience . Minimum 5 years of development and design experience in JAVA, J2EE technologies and PL/SQL . Excellent knowledge on service oriented architecture . Hands on experience in performance tuning, debugging and monitoring . Good exposure on all phases of SDLC . Knowledge on microservices architecture,containerization, Dockers and Kubernetes is an added advantage"
3,Java,Tata Group,3-8 years,Not Specified,"Desired Experience Range 3-8 years  Location of Requirement Any LocationTCS has always been in the spotlight for being adept in the next big technologies. What we can offer you is a space to explore varied technologies and quench your techie soul.As a Developer ,you will capture data to translate and transform it into a processing language and build industry specific solutions based on industry needs, manage and upgrade existing applicationsMust-Have :  Skill sets: Java, Spring bootResponsibility :  Minimum 3+ years of experience in development of Java Should be well versed with the implementation of REST API  Hands on experience in designing and developing Web applications using Java (any framework)  Experience in development of Web application Development(JSP,JSF)  Experience with Java/J2EE, Websevices, APIs, Java scripting. Minimum Qualification:15 years of full-time education  Minimum percentile of 50% in 10th, 12th, UG & PG (if applicable)"
4,"Java, Spring, Core java",Larsen & Toubro Infotech Limited,6-8 years,Not Specified,"Job Title: Java, Spring, Core java Location: Pune Experience: 6 to 8 yrs Skills: Java 8, SpringBoot, REST API, SQL, Java Job Description Should have strong technical and communication skills. Should have at least 2-4 years of Tech Lead experience Should be able to mentor the team technically - Strong technical knowledge and experience in technologies: Core Java and working knowledge of Spring, Springboot, JBoss and PCF - Knowledge of Rules analyst is beneficial (knowledge of Ilog & Java) - Good experience in working in agile development methodology and mentoring team - Strong co-ordination skills with Ancillary groups such as DevOps, Architecture and other support teams - Strong soft skills and solution mindset - Ability to provide solutions and drive working sessions with architecture and application owners"
5,Java Developer,TATA Consultancy Services Ltd.,3-7 years,Not Specified,job description is not available for this job
6,Java Developer,TATA Consultancy Services Ltd.,1-6 years,Not Specified,job description is not available for this job
7,Java Developer,TATA Consultancy Services Ltd.,6-12 years,Not Specified,job description is not available for this job
8,Java Microservices,TATA Consultancy Services Ltd.,6-12 years,Not Specified,job description is not available for this job
9,Full Stack Developer,TATA Consultancy Services Ltd.,4-10 years,Not Specified,job description is not available for this job
