SN,Title,Company,Experience,Salary,Description
0,Dy Manager/ Manager- Digital Marketing,Brigade Enterprises Limited,5-10 years,1050000 - 1550000 INR,"What will you do• Setting up the digital ecosystem for Residential Business.Core Responsibilities:• Identify contemporary trends in Digital Marketing, evaluate modern technologies and ensure that the brand is at the forefront.• Responsible for managing Digital Marketing for the Residential Business – as a channel for driving revenues through customer acquisition, with a focus on technology.• Thorough understanding of SEO working and strategy. Conceptualize & implement campaigns on the digital channels - All Web, SEO/SEM, marketing database, email, social media based.• Measure and report performance of all Digital Marketing campaigns – Quality of leads, closures on leads and revenue generated through digital channels.• Understanding and running campaigns through any CDP /DMP and ease of working on CMS (content management system). Devising the campaigns through automation and working through first party data• Content development, website handling, Landing page and Microsite development• Utilize strong analytical ability to evaluate end-to-end customer experience across multiple channels and customer touch points.• Collaborate with agencies and other vendor partners.• Evaluate emerging technologies. Provide thought leadership and perspective for adoption where appropriate.• Diligently work with sales and presales for monitoring of leads and collect feedback on the quality of interactions.• Experience in Real Estate or Digital Agency, which runs campaigns for the different industries will be preferredWho are we looking for• A Go-Getter: You are a highly driven individual who goes that extra mile to drive value for the organization.• Analytical and a Problem Solver: Thinker and problem solver and the ability to exercise sound judgement and make decisions based on accurate and timely data analysis• Adaptable: You demonstrate the ability to work in a fast paced and hyper-growth environment where the requirements are constantly changing.• A Technology Geek: You are fanatical about technology and are always on the look-out of newer better ways of building solutions – that is how you would build this team too!• A Team Builder: You are a go to person and can collaborate with different teams. A firsthand collaborative style of working is necessary!• Ownership: Entrepreneurial mindset with a keen sense of urgency and results-orientation.• Inspiring Leader: Who Influences Stakeholders positively and develops teams.• Demonstrable experience leading and managing SEO/SEM, marketing database, email, social media and/or display advertising campaigns.• Certification in Google ad words and Facebook ads is mandatory along with Google analytics.Qualification:• MBA in Marketing from a reputed institute with 8-10 years of work experience in driving sales through Digital Marketing with B2B, B2C companies.• Strong analytical skills and data-driven thinking.• Up to date with the latest trends and best practices in online marketing and measurementJoin us, write the future of an entire sector, and contribute to building the new India."
1,India Market Unit - Sales Enablement Manager - 07,Accenture,8-11 years,Not Specified,job description is not available for this job
2,India Market Unit - Sales Enablement Consultant - 09,Accenture,5-8 years,Not Specified,job description is not available for this job
3,India Market Unit - Sales Enablement Senior Manager - 06,Accenture,15-18 years,Not Specified,job description is not available for this job
4,CB-Client Onboarding-Operations Analyst,JP Morgan Chase & Co.,5-8 years,Not Specified,"Commercial Banking serves more than 30,000 clients, including corporations, municipalities, financial institutions, and not-for-profit entities with annual revenues generally ranging from $20 million to $2 billion The Firm's broad platform positions the Commercial Bank to deliver extensive product capabilities - lending, treasury services, investment banking, and asset management - to meet our clients domestic and international financial needs. The Commercial Banking Client On-boarding (CBCO) Implementations group is responsible for driving and coordinating all aspects of the setup for custom card and cash management services including working with key internal partners to ensure a best in class experience for clients. The Commercial Banking Client On-boarding group is seeking an Implementation Specialist that will work closely with our business partners and be responsible for coordinating all aspects for Card and Cash Management set ups. The Implementation Specialist will handle a high volume of simultaneous requests. Core Responsibilities:Manage clear expectations and understanding by establishing clear timelines and managing documentation requirements Exhibit ownership of on-boarding experience and client satisfactionOwnership of internal communication and status updatesEnsure deal deliverables are met and hold owners accountable by managing implementation issues, escalations and error resolutionDemonstrate creative problem solving and solid judgment/decision makingExhibit adherence to policy and procedures and meet or exceed established Service Level AgreementsDiligent awareness of risks in our processes in a timely mannerOwnership, escalation and resolution of risk issues when they occur in a timely mannerManage activities with internal clients and business partnersRecording observations & escalate wherever necessaryIdentifying items which needs Remediation & Amendments.Identifying gaps/exceptions and recommending possible solutions.Reporting/MISProject Management.Required Qualifications:Must be strong in both verbal and written communication Prior experience of client facing roles in institutional banking or dealing with institutional customers is requiredPrior experience in client onboarding in preferredGraduates with minimum of 5 years of experience.Demonstrated problem solving ability through interaction with internal and business partnersExceptional verbal and written communications skills. Communication is paramount.Ability to independently manage conflict and mobilize internal resources to resolve issuesStrong interpersonal and relationship building skillsExcellent logical, analytical skills and attention to detailKnowledge of Microsoft Suite of productsAptitude to work with numbers and deadlines.Proactive approachKnowledge of TS & CB Products and Operations will be an added advantage.Ability to grasp/learn new products/audits which are currently not in scope."
5,Content Marketing Manager,Amazon,5-8 years,Not Specified,"Job Description :Job summaryAmazon Prime Video's mission is to be the most loved entertainment hub for its customers, changing the way people watch movies and TV shows, offering multiples ways to instantly stream and watch videos. At Amazon Prime Video, our 5-year journey has been about super-serving our diverse audience in India. From Day 1, we have been super-serving with our originals, local originals, and movies across 10 languages and even localized products like Prime Video Mobile Edition, a marketplace model that we have launched with our channel partners which gives more selection to our customers. Prime Video is today watched in 99% of the country's pin codes. We have seen our content travel not just locally but globally with our content being consumed in over 200 countries. If you want to operate at start up speed, solve some of the hardest problems and build a service which customers love, Amazon Prime Video might just be the place for you.We are looking for a forward-thinking, analytically minded marketing leader who is passionate about content to join our team. The role's key responsibilities include:Key job responsibilities. Developing the content marketing prioritization calendar . Defining and monitoring business objectives linked to content marketing - by providing objective, data-driven marketing recommendations based on an in-depth understanding and analysis of content, customer and environmental information.. Being the champion for Content working closely with local content teams, 3rd party productions to develop strong marketing campaigns.. Manage agencies to develop and execute show marketing campaigns, providing creative direction and feedback to teams to ensure alignment with campaign goals and objectives. Collaborate with internal social and media teams to develop and execute marketing campaigns. Leading innovative thinking and scaled activation across content . Advocate for new initiatives or process improvements using customer research, hard data, and marketing & business metrics to derive insights and shape recommendations.. Monitor and report on the effectiveness of marketing campaigns including effective channel and creative strategy.. Content research and show pre-testing and designing a road map for consumer research opportunities. Developing a framework of content-led customer insights from all sources to funnel into the business.Basic Qualifications :3+ years of marketing experienceExperience using data and metrics to measure impact and determine improvementsExperience building, executing and scaling cross-functional marketing programsExperience using Microsoft Excel to manipulate and analyze data. MBA from Top B-School with at least 6-8 years work experience.. Proven track record in brand/ business planning for large consumer facing business. Additionally, digital business experience or content marketing experience will be an advantage.. Ability to assimilate relevant data sources and hone in on key insights that drive business recommendations.. Academic and practical experience with a wide array of new product, brand, advertising and customer satisfaction research methodologies. Entrepreneurial self-starter skilled at prioritizing and managing multiple project schedules and deadlines that run simultaneously.. Excellent project management skills. Demonstrated success in influencing cross-functional teams, stakeholders and leadership.. Exceptional persuasive written, verbal, and presentation communication and presentation skills with proven ability to build logical story flow.Preferred Qualifications :. Background in the entertainment (Film/TV) industry. Understanding of digital products, business and customer lifecycle dynamics"
6,REGIONAL MARKETING MANAGER,Muthoot finance,5-6 years,Not Specified,"Job Description :. Regional Marketing ActivityResponsible for % increase in business through marketing activities planned & executed for the branches of various categories in the region- NCACost per lead: (Total expenditure on marketing/ Number of new customer leads sourced through marketing activities) maintained throughout the year.Innovative marketing Ideas initiated as per regions/local requirement. Branch Visibility ManagementDevelop benchmark and monitor for In- Branch Visiblity and remove all Old communications which is not relevant at the branch : Product display, In-Branch Branding, Standee, Arch , Banners and Glow signs up keeping liaising through Admin. New Branch SupportPrepare on-ground marketing calendar for the Branch to create awerness and increase in Walk-ins, % of New loans from new customers (at the branch) through marketing initiatives.Evaluate and recommend branch visiblity through Pathfinder, Wall Painting, local branch level activity etc.. Weak Branch SupportIdentify the branch based on the date of launch against the Business growth in terms loan dispersed i.e. Above 2 years branch 8 Cr of business to happen.Create Visiblity and awareness for the branch through Marketing initiatives.. B2C ManagementPrepare on-ground event calendar for the RegionEvaluate and recommend productive , Van Marketing, Melas, Consumer promotion etc.Responsible for driving promotion activities in branch catchment areas.Business Index: (Total new customer business through marketing activities/ Total expenditure on marketing). MIS ManagementMonitor and report Daily activityAnalyze and report effectiveness of POSM usage in Branch & Van Marketing and Consumer promotion Activity & Melas etcProductivity and cost effective analysisBranch Visit Report"
7,City Manager | Chandigarh,OLX Group,Not Specified,Not Specified,"WELCOME TO OLX AUTOS & OLX GROUP Over 300M monthly active users US $1.6 billion in revenue and 18% revenue growth (FY 2021 36% growth in FY2020) Part of Naspers Prosus, one of the biggest technology investors in the world (An early investor in Tencent and the owner of StackOverFlow). +30 countries. +20 Brands. Powered by +10,000 employees representing 81 nationalities. That's what's on our plate at OLX Group. And that's why we need your help. Join Us. Shape your career with us. Part of the OLX Group, with 5,000+ employees and 500+ inspection centers across the Americas, and Asia, OLX Autos manages a truly global car marketplace. OLX Autos is the smart way to sell your car. We offer one-stop solutions that are safe, convenient, and offer guaranteed peace of mind for both buyer and seller. As city head/manager for procurement business for used car dealers, you would be building and running a team that would be managing end to end operations in the local market. The role comes with high responsibility and high risk/reward quotient and needs a very high sense of agility, adaptability and - getting things done- approach. The desire to work in a young, creative, changing and data-driven environment with a high performance team in a fast-moving sector is essential. We are turning Diversity & Inclusion into our superpower and competitive advantage. We encourage people of all races, ethnicities, disabilities, ages, gender identity or expression, backgrounds and experiences to consider applying for this role. If you are as excited as us about this position and our company, we hope you join us! If you'd like to learn more about the OLX Group take a look at the other parts of our website. And remember, we are equal opportunities employers. A BIT MORE ABOUT US Discover OLX Autos Inside Out blog here Discover why you should join OLX Group & OLX Autos now Check our careers website here. Check out our talent, product, engineering and design blogs here Follow us on Linkedin. We encourage people of all races, ethnicities, disabilities, ages, gender identity or expression, backgrounds and experiences to consider applying for this role. We are committed to building an inclusive culture that seeks out the diverse perspectives and experiences of our people and becomes a company superpower and strategic competitive advantage. The OLX Group (OLX Group consists of OLX Global B.V. and its affiliated companies) will handle your personal data with care and will process your personal data to assess your fit for the position you are applying for. You can give your consent (optional) to allow us to store your data for up to 12 months after the application process. So that in case you are not fit for the role at stake we can consider you for other suitable roles. Please refer to our Privacy Statement to find out more about how your application data will be processed."
8,Content Marketing Manager,Amazon,5-8 years,Not Specified,"DESCRIPTIONJob summaryAmazon Prime Video's mission is to be the most loved entertainment hub for its customers, changing the way people watch movies and TV shows, offering multiples ways to instantly stream and watch videos. At Amazon Prime Video, our 5-year journey has been about super-serving our diverse audience in India. From Day 1, we have been super-serving with our originals, local originals, and movies across 10 languages and even localized products like Prime Video Mobile Edition, a marketplace model that we have launched with our channel partners which gives more selection to our customers. Prime Video is today watched in 99% of the country's pin codes. We have seen our content travel not just locally but globally with our content being consumed in over 200 countries. If you want to operate at start up speed, solve some of the hardest problems and build a service which customers love, Amazon Prime Video might just be the place for you.We are looking for a forward-thinking, analytically minded marketing leader who is passionate about content to join our team. The role's key responsibilities include:Key job responsibilities. Developing the content marketing prioritization calendar . Defining and monitoring business objectives linked to content marketing - by providing objective, data-driven marketing recommendations based on an in-depth understanding and analysis of content, customer and environmental information.. Being the champion for Content working closely with local content teams, 3rd party productions to develop strong marketing campaigns.. Manage agencies to develop and execute show marketing campaigns, providing creative direction and feedback to teams to ensure alignment with campaign goals and objectives. Collaborate with internal social and media teams to develop and execute marketing campaigns. Leading innovative thinking and scaled activation across content . Advocate for new initiatives or process improvements using customer research, hard data, and marketing & business metrics to derive insights and shape recommendations.. Monitor and report on the effectiveness of marketing campaigns including effective channel and creative strategy.. Content research and show pre-testing and designing a road map for consumer research opportunities. Developing a framework of content-led customer insights from all sources to funnel into the business.BASIC QUALIFICATIONS3+ years of marketing experienceExperience using data and metrics to measure impact and determine improvementsExperience building, executing and scaling cross-functional marketing programsExperience using Microsoft Excel to manipulate and analyze data. MBA from Top B-School with at least 6-8 years work experience.. Proven track record in brand/ business planning for large consumer facing business. Additionally, digital business experience or content marketing experience will be an advantage.. Ability to assimilate relevant data sources and hone in on key insights that drive business recommendations.. Academic and practical experience with a wide array of new product, brand, advertising and customer satisfaction research methodologies. Entrepreneurial self-starter skilled at prioritizing and managing multiple project schedules and deadlines that run simultaneously.. Excellent project management skills. Demonstrated success in influencing cross-functional teams, stakeholders and leadership.. Exceptional persuasive written, verbal, and presentation communication and presentation skills with proven ability to build logical story flow.PREFERRED QUALIFICATIONS. Background in the entertainment (Film/TV) industry. Understanding of digital products, business and customer lifecycle dynamics"
9,Marketing Manager-Rural,IDFC FIRST Bank,Not Specified,Not Specified,"Job DescriptionJob Title - Marketing Manager - Brand Activation (Rural Marketing) Place of work - Mumbai Business Unit - Corporate Function Function - Marketing & Communication ResponsibilitiesBuild and maintain a calendar of brand activation / marketing events for the RBT.Managing & organizing rewards and recognition events for Rural Banking Team (RBT).Managing & organizing new branch launch events and activation support for RBT.Managing & organizing marketing activities & events for branches across pan India.Managing customer gifting for rural branches for NTB marketing events & activities.Provide consumer insight to businesses to help develop marketing initiatives that are differentiated and relevant to audiences / customers.Work with multiple stakeholders  business heads, product managers, agencies, branches etc. to execute continuous / new marketing initiatives.RequirementMarketing Track record of successful end-to-end delivery of event projects & programs, from briefing and conceptualization to onsite build and supplier management.A solid understanding of experiential marketing and brand experience across the industry including insights, measurement and best practiceExperience in managing complex event production and event logistics.Previous brand experience, activation or sponsorship at a manager level.A passion for creating & delivering innovative ideas and experience High degree of attention to detailing and trustworthinessExcellent interpersonal skills and ability to build & maintain relationships across verticals.A good team player who meets and exceeds team goals.Self-motivated, confident, energetic and creative."
10,Assistant Manager - Social Media Research,Genpact,Not Specified,Not Specified,"With a startup spirit and 90,000+ curious and courageous minds, we have the expertise to go deep with the world&rsquos biggest brands&mdashand we have fun doing it. Now, we&rsquore calling all you rule-breakers and risk-takers who see the world differently, and are bold enough to reinvent it. Come, transform with us.Are you the one we are looking forWe are inviting applications for the role of Assistant Manager - Social Media ResearchResponsibilitiesAnalyze and interpret data using a variety of social media tools, secondary research, digital analytics platforms, and other related tools Convert data into actionable insights Use story boarding techniques to create reports on PowerPoint Create and visualize analysis concepts and models in the reportCome to clear conclusions, implications, and recommendations on the way forwardEnsure accuracy and attention to detail in all phases of the research process Ensure project timelines are met Work with clients to understand their business and research objectives Ensure the client&rsquos research/business questions are answered effectively, and to their satisfactionLead a project team to ensure team members perform to their best potential, and move up the learning curveDrive and support Genpact&rsquos transformation towards more automation, and analytics Internal stakeholder managementMinimum QualificationsGraduate degree (any), followed by MBA Relevant experience in social research methodologies and techniquesExcellent MS Office skills (Advanced Excel, PowerPoint, Word)Excellent business writing and communication skillsAbility to effectively lead, manage, and mentor a project teamKnowledge about social and digital media research & analyticsStrong analytical and critical thinking skillsAbility to generate insights and inferences from facts/dataAbility to analyze, organize and integrate large amounts information into clear concise presentations Preferred qualifications Good to have: Understanding of the technology industry Good to have: Experience working with popular social media monitoring tools or management tools Good to have: Experience in other visualization tools such as power BIGenpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin, citizenship status, marital status, military/veteran status, genetic information, sexual orientation, gender identity, physical or mental disability or any other characteristic protected by applicable laws. Genpact is committed to creating a dynamic work environment that values diversity and inclusion, respect and integrity, customer focus, and innovation. For more information, visit www.genpact.com. Follow us on Twitter, Facebook, LinkedIn, and YouTube."
11,Marketing and Sales Executive,Beat The Virus Startup,0-10 years,Not Specified,"Roles and Responsibilities Be involved in Sales of Health Offerings of BTV's Health Partners. One needs to also join at least 1 more Team of Beat The Virus such as HR, Partnership Team, Social Media Team, Tech Team, etc. Perks and BenefitsThey are mentioned in http://bit.ly/offerletter1 Desired Candidate Profile - Please refer to our Offer letter http://bit.ly/offerletter1 for benefits, work details, terms, etc. If you are fine with the Offer Letter, you can apply to BTV through one of the below ways -  1. Please join our Whatsapp group https://bit.ly/JOINBTVGROUP BY DMing THE FOLLOWING LINK TO SOMEONE AND THEN JOINING VIA THE SAME -  https://chat.whatsapp.com/G7M93p1hKb2D45UtjEG4Wj Once one joins the Whatsapp Group, one needs to post one's Name and Email id there and we will email the Offer Letter ( http://bit.ly/offerletter1 ). Once you accept the offer letter by email we will do the further process. OR In case you are having an issue with Joining the Whatsapp group, as an alternative, you can email [Confidential Information] with the Subject - Application to BTV Internship - Your Full Name and Mobile No.  Post that we will do the further process."
12,IFS-Marketing Services-AU Marketing,PwC,5-6 years,Not Specified,"Line of ServiceAdvisoryIndustry/SectorNot ApplicableSpecialismManaged ServicesManagement LevelSenior AssociateJob Description & SummaryA career in Sales and Marketing, within Internal Firm Services, will provide you with the opportunity to focus on positioning a distinctive PwC brand in the marketplace and drive long term revenue growth for the Firm. You'll focus on designing, developing, and implementing communication programmes and media events to promote and sell the PwC's brand and services as well as contribute to and evaluating our pricing strategies in the marketplace.Our Sales and Marketing Operations team is client centric and strategises to distinctively position PwC's brand in the marketplace and facilitate long term revenue growth. As part of our team, you'll help with the team to report, maintain, and analyse data within customer relationship management systems.You will play an integral role in services provided to clients.. Participate in a wide range of digital projects andcollaborate across multiple work streams or teamsconsistently demonstrating creative thinking, individualinitiative and timely completion of assigned work.. Consistently demonstrate teamwork dynamics by workingas a team member: understand personal and team rolescontribute to a positive working environment by buildingsolid relationships with team members and proactivelyseek guidance, clarification and feedback.. Serve as process improvement and automation accelerator. Digital enabler - Work in teams or as an individualcontributor to identify and address process orientedproblem statements, brainstorm and research to find theright technological or digital solution, act as a process SMEwhere necessary, communicate problem statements toexternal developers, be a part of the solution design andPreferred Knowledge/Skills:. BE/B.Tech/MCA or equivalent in IT/Computer sciencedomain with 5-6 years proven track record of working inweb/content development. Hands on development experience with CMS-based WebApplications like SharePoint Online, Adobe ExperienceManager, Google Sites, etc.. Hands-on automation experience on SalesforceMarketing Cloud, Oracle Eloqua would be a plus.. Hands-on automation experience using Google AppScriptplatform would be a plus.. Strong command over front-end technologies like HTML5,CSS3, JavaScript coded by hand, as well as appliedexperience of Responsive Design concepts. Familiarity with third-party libraries and programminglanguages such as jQuery, Node.js, React, Angular, andREST APIs. Ability to visualize proposed solutions and work in tandemwith designers and content managers to build them. Basicweb/graphic design ability including knowledge of UI/UXand basic prototype design would be a plus.. Ability to troubleshoot and optimize web pages forfunctionality, responsiveness and user experience.. Ability to learn/familiarize and quickly upskill on new CMSplatforms.These should includeessential & desirablerequirements such as:. Level of experience, Education/qualifications ,Industry experience,Technical capability,Key personal attributeEducation (if blank, degree and/or field of study not specified)Degrees/Field of Study required:Degrees/Field of Study preferred:Certifications (if blank, certifications not specified)Required SkillsOptional SkillsDesired Languages (If blank, desired languages not specified)Travel RequirementsNot SpecifiedAvailable for Work Visa SponsorshipNoGovernment Clearance RequiredNo"
13,Sr Executive-Digital Marketing (Leading Building Materials Co),Vertex Corporate Services India Private Limited,2-4 years,Not Specified,"Position: Sr Executive-Digital Marketing (Leading Building Materials Co) Role: - Working on Digital Marketing by designing and working on company's digital strategy in conjunction with the overall marketing objectives. Working on Digital Brand visibility, Social Media & digital campaigns, Content Development and overall Budgeting. - Working on Campaign Planning & Execution across digital platforms via SEM, Google- Display/Search/ Discovery, Facebook, Instagram, LinkedIn. Programmatic advertising, Affiliate marketing and Email Marketing campaigns to generate sales. - Build the Company Brand on Social Media and through Digital Marketing - Write, edit and publish engaging posts for various social networks, including Linkedin, Facebook, Twitter, Instagram, etc. - Optimize social media posts (language, tone, message) based on target audience's behaviours - Select appealing images and videos to complement text - Update the Company's social media pages with compelling company news and views - Track and report on social media insights (traffic, engagement, shares, conversion rates) - Apply advertising techniques to boost brand awareness, like promotions and competitions - Respond to questions and comments in a timely and accurate manner Requirements: - MBA - 2-4 yrs of experience - Proven work experience in Digital Marketing - Hands-on experience using various social media platforms to advertise - Solid knowledge of SEO, keyword research and analytics tools (e.g. Google Analytics, Canva) - Ability to deliver creative web content (text, image and video) - Excellent communication skills Location: Mumbai This position is for a Client of Vertex Corporate Services which is a Leading Building Materials Company"
