SN,Title,Company,Experience,Salary,Description
0,Networking Specialist Advisor,NTT Data,Not Specified,Not Specified,"Engineer should have hands of experience on Cisco(6500, Nexus 5K, 7K, 9K, 2K), Arista(7280, 7508s, etc.) and Juniper devices. Must be good with routing protocols(BGP, EIGRP and OSPF), VPC, switching, VRF, ACL, HSRP, VRRP, SNMP, DHCP NXOS upgrade, L1/L2 troubleshooting.  He should be able to work on projects individually and should be able to design and implement the designs according to the standards. Below are some of the projects that engineer is required to work on: New switch/router deployment in IP fabric environment.  Replacement of EOL devices (router/switches (Cisco, Nexus devices, etc.)  ACL/Routing Changes Decommissioning of routers/switches BAU requests for switchport provisioning, PVLANs, etc. Hardware knowledge: knowledge about transceivers, switches, cabling is required. Proficient with Microsoft Office products including Visio, Word and Excel. Experience with Bluecoat is desirable but not essential. Strong IT/Technical skills (understanding of software, hardware, networks, etc) Advanced written and verbal communication skills. Process-oriented individual with strong attention to detail, and strong organizational skills Ability to build consensus. Strong interpersonal and problem solving skills."
1,Networking Senior Specialist,NTT Data,6-9 years,Not Specified,"Req ID: 207805 NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now. We are currently seeking a Networking Senior Specialist to join our team in Noida, Uttar Pradesh (IN-UP), India (IN). This requisition is for Network Engineer. Candidate will act as primary point of contact for CISCO and Juniper R&S related problems, activities, migrations etc. Roles and Responsibilities: - Plan, implement and maintain networked systems, including configurations, supporting / troubleshooting network problems and coordinating with vendors for installation of such items as Cisco/Juniper routers & switches, Wireless controllers, Avocents, circuits and Riverbeds etc. - Perform complex technical analysis of software, hardware, and network systems, systems integration on LAN / WAN communications, network nodes, routers and switches. - Independently analyze and provide innovative solutions in order to support existing problems in customer's enterprise network including MPLS backbone. - May serve as technical liaison with vendors/customer. - Apply advanced understanding of WAN/LAN internet - to work on troubleshooting existing network problems, new implementations or migrations etc. - Mentor and instruct junior level engineers on technical expertise needed in troubleshooting, implementation of required solutions. - Recommend improvements and assist in the development of technical standards(SOPs).  - Willing to work in oncall support environment, to support change requests during off business hours or available to troubleshoot high severity issues. Key skills R&S OSPF, BGP,IS-IS, MPLS, Route-maps, NAT, HSRP, STP, Redistribution, QOS, VPN, Wireshark, packet capture analysis,  Requirements: . Exceptional knowledge of network performance, network administration and troubleshooting techniques. . Good understanding of service provider routing and switching technologies ( LDP, RSVP, MPLS, ISIS, MPBGP). . Exceptional knowledge of network related hardware and software (including routers, switches, TCP/IP, Ethernet, L3VPNs etc.) . Good exposure on Juniper routers and switches preferably MX, QFX, EX models, cisco 3800, 4500, 5k, 9k, 9k catalyst, ISR, ASR etc.  . More than 6+ years of experience in R&S.  . Graduation or equivalent combination of education. Work Timings:  24X7 rotational"
2,"Network Engineer, Google Global Networking",Google Inc,3-6 years,Not Specified,"Minimum qualifications:Bachelor's degree in a related technical field or equivalent practical experience.3 years of experience in the networking industry.Experience coding in Python or Go.Preferred qualifications:Industry-relevant certifications or equivalent level experience.Experience in designing, analyzing, and troubleshooting large-scale distributed systems.Experience developing and automating networking products, technologies, software and protocols.Excellent problem-solving and communication skills.About the job Google is proud to boast a network that provides service to millions of Internet users around the world. The Network Engineering team is responsible for operating that network reliably and at scale. As a member of the team, you have a direct impact on design and feature enhancements to keep our systems running smoothly. You also ensure that network operations are safe and efficient by monitoring network performance, coordinating planned maintenance, adjusting hardware components and responding to network connectivity issues. Google's complex network generates a constant stream of challenges which require you to continually be innovative with an evolving set of technologies. Keeping the network reliable ensures that our users stay connected with our suite of applications, products and services. As a Network Engineer, you will partner closely with network operations, collecting feedback and monitoring performance, to ensure designs and solutions are safe and efficient. You will make continual improvements to ensure Google's network infrastructure meets the needs of customers. Google's network generates a constant stream of challenges which require you to continually be innovative with an evolving set of technologies. Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible. Responsibilities Engage in and improve the entire lifecycle of networks (e.g., inception and design, qualification and validation, deployment, operation and optimization).Scale systems sustainably through tools and automation, and evolve systems by driving change that improves reliability and velocity.Work with other team members to analyze requirements or potential problems and proactively develop solutions and policy recommendations.Lead development of Google's network infrastructure through published engineering design documents and specifications.Lead the requirement analysis, engineering design, and solution development of Google's network infrastructure."
3,"Senior Software Engineer, Data Center Networking",Google Inc,12-15 years,Not Specified,"Minimum qualifications:12 years of relevant experience in software development in a Linux/Unix environment, experience is routing protocols, IP forwarding.Experience is coding high-performance/low latency software.Broadcom Switching ASIC SDK experience.Experience coding solutions in C/C++. Software programming experience. Experience with routing protocols, switches, and routers.Preferred qualifications:Experience in networking. Engineering experience with working on routers and switches.C, C++, Routing Protocols, Algorithms, Data Structures, Software Architecture, Software Development, Software Engineering experience.Technical leadership skills, ability to lead complex technical programs and engineers.About the job In this role, you will be networking solutions for hyper scale data center networking, especially the devices that run hyper scale data centers. You will increase reliability, availability, performance and scalability of data center networks, focused on networking devices. This team is what enables the actual packets and control signals to flow through Googles hyper scale data centers. The team address the complexities of Network Operating Systems, Switching and Routing stacks, Control flow and Network Management Stack, as well as the speeds and feeds that run them.Google Cloud accelerates organizations ability to digitally transform their business with the best infrastructure, platform, industry solutions and expertise. We deliver enterprise-grade solutions that leverage Google's cutting-edge technology - all on the cleanest cloud in the industry. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems. Responsibilities Perform embedded software development for data center devices. Perform technical leadership of data center networks and solutions.Be a broadcom SDK specialist."
4,Network Engineer,TATA Consultancy Services Ltd.,4-10 years,Not Specified,job description is not available for this job
5,Data Center Networking Technologies Operations Infrastructure Engineer,Accenture,3-4 years,Not Specified,job description is not available for this job
6,Network Engineer,TATA Consultancy Services Ltd.,6-8 years,Not Specified,job description is not available for this job
7,Senior Software Engineer (Networking and Security),Vmware,Not Specified,Not Specified,"Be part of an energetic team involved in building next generation networking and security solutions for hybrid cloud environments. Specifically, this role would be involved in:Design and developinfrastructure, networking and security features.Debug the system in various scenarios that includes acombination ofpublic cloud, private cloud and hybrid scenarios.Architecture of NSX and plug in features that are offered to our customers. Opportunities to participate inVMware'stechnical conferences and also collaborate with the teamandwork on patentsThe technical experience in your background which may help your success in this new role include:Excellent programming skills in Java or C++ or Python Strong Distributed systems knowledgeExperience in design and implementation of service interfaces and public APIsUnderstanding ofthe servicesandtechnologies used in networking and security servicesisaplusKnowledge in Cloud Management Systems is a plusVMware Company Overview: At VMware, we believe that software has the power to unlock new opportunities for people and our planet. We look beyond the barriers of compromise to engineer new ways to make technologies work together seamlessly. Our cloud, mobility, and security software form a flexible, consistent digital foundation for securely delivering the apps, services and experiences that are transforming business innovation around the globe. At the core of what we do are our people who deeply value execution, passion, integrity, customers, and community. Shape what's possible today at http://careers.vmware.com.Equal Employment Opportunity Statement: VMware is an Equal Opportunity Employer and Prohibits Discrimination and Harassment of Any Kind: VMware is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at VMware are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. VMware will not tolerate discrimination or harassment based on any of these characteristics. VMware encourages applicants of all ages. Vmware will provide reasonable accommodation to employees who have protected disabilities consistent with local law."
8,"Nokia 7750,IP Networking protocol Development and testing",Tata Group,Not Specified,Not Specified,"Nokia 7750 hands-on experience, Nokia 7750 Implementation/Troubleshooting, IGP, BGP, MPLS, VPN Services (VPLS, VPRN), QoS knowledge, MP-BGP, BGP Policy configuration/troubleshooting. Strong experience with IOS-XR based platforms such as Cisco NCS/ASR routers (both configuration and device mgmt/OS upgrade)"
9,Data Center Networking Technologies Operations Application Tech Support Practitioner,Accenture,4-6 years,Not Specified,job description is not available for this job
