SN,Title,Company,Experience,Salary,Description
0,Business Development Representative (ISR),Amazon,5-8 years,Not Specified,"Job Description :Job summaryAWS is where innovation, risks, and ideas are celebrated. We are builders, we try new things, and imagine big dreams. It is still Day 1 for us, and we are looking for curious and passionate people to be part of our diverse teams of thinkers, testers, and doers. Come join us and work with the latest cloud technologies that enable our customers to adopt cloud based solutions. At AWS, we refer to ourselves as builders. Amazon Internet Service Private Limited (AISPL) are looking for more builders to join our growing and diverse teams within the Cloud Centre (CC). AWS is committed to be the most customer obsessed organization on the planet.This role is within the India CSC team in AISPL. The CSC is the inside BD organization of AISPL and is focused on new customer acquisitions across India at scale. You will have the exciting opportunity to work cross-functionally and cross-geographically, as you collaborate with internal stakeholders across BD, operations, partner, and marketing teams, while being part of an entirely new concept at AWS.As a Business Development Representative in the Cloud Centre, you'll help your customers understand the value of our cloud technologies and how it can help them better serve their customers. You will develop new and lasting relationships in a variety of accounts. Building relationships to understand our customers is key. You will be driving the entire BD process from prospecting to close. Maintaining accurate pipeline management and expert-level forecasting is a habit that supports you to meet and exceed BD targets.As a trusted advisor, you'll use your interpersonal skills to influence a variety of stakeholders across a variety of LOBs. You'll help ensure their short-term technology decisions are aligned with their long-term goals. Speeding up the adoption of our services will be part of your day to day.You'll also act as an evangelist in the wider community. This includes taking part in educating and sharing best practices. You won't just want to be part of an industry movement you'll want to be leading it.Key job responsibilitiesYou will. Own the entire BD process from prospecting to close. Meet and exceed annual BD targets. Maintain accurate pipeline management with expert-level forecasting. Cultivate, grow and enable partners to successfully close AWS business. Understand customer needs and requirements. Demonstrate AWS services and value to your customers. Role is virtual, however travel to assigned territory at least once per quarter to support partners and customers will be requiredBasic Qualifications :5+ years ExperienceHighly effective communication skills, with ability to prioritize multiple emails, phone calls, social media and moreB2B full cycle BD experience in a revenue closing role with a consistent record of overachievementEnterprising - you are creative and hardworkingOrganized - you are on top of everythingA phenomenal teammate - we have a collaborative environmentPositive - we bring solutions, not problemsPassionate - we all love what we doPreferred Qualifications :BA/BS degree required. Masters or MBA a plusAt AWS, we don't mind being called peculiar. We see beauty in simplifying the complex, and we're comfortable being misunderstood. That might sound unorthodox. We believe in removing obstacles so builders can build which is why our people enjoy working in AWS. Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer, and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, disability, age, or other legally protected status. Want to Come Build the Future with us Don't wait, apply today!"
1,Digital Marketing intern ( SEO ) Online course,Namrata Universal,Fresher,Not Specified,"SEO Intern Online course With JOBOnline SEO Course SyllabusIt is an SEO Course syllabus of SEO Blueprint (A online SEO Training Program) by an Expert SEO Trainer. These SEO course details are just for reference, while we cover more than these during online training. This SEO course content we have designed to teach Search Engine Optimization step by step after ten years of working experience. Regularly we update this SEO training course outline as per the current algorithm update of search engines like Google, Bing, and Yahoo.SEO Course Syllabus : 2022Module 1: Introduction To SEO Module 2: Technical SEO Module 3: Keyword Research Process Module 4: Content Planning and Creation Module 5: On-Page SEO Module 6: Off-page SEO Module 7: Avoid Negative SEO Module 8: Local SEO Module 9: YouTube SEO Module 10: Analysis Module 11: Certification This SEO training course outline will give you complete information about what you will learn. Module 1: Introduction To SEOIn this module, we will discuss each and every basic terms to clarify the concept of SEO. That will help you to understand SEO from basic level. After completing this module, you will know the answer to the following. What is a search engine How search engines works What Is SEO What is the need of SEO History Of SEO How SEO Works What is Googlebot (Google Crawler) Types Of SEO technique What Is Google's SEO Algorithm updates How to create planning and strategies for SEO What is SEO tools and why we need it Module 2: Technical SEOIt is the first step of SEO, as you can not participate in a race without your body's fitness. Similarly, in technical SEO course, we discuss the critical technical SEO factors required to optimize and how one can make a website free from technical errors. The following topics will be covered in Technical SEO training. What Is Technical SEO Technical SEO Ranking factors Type of meta tags and their effect on SEO Site architecture Optimization Breadcrumbs Permalinks optimization Canonicalization What Is Robots.txt File & How to create it Setup of CDN Installation of SSL How to Improve Website Performance & Speed using Plugin How to perform the Page Speed Test XML and HTML sitemap creation and optimization How to Add and verify a website in Google Console Google Analytics setup and monitoringModule 3: Keyword Research ProcessKeyword research is the heart of SEO. Without the right keyword at the right time, you can not rank a website in SERP. The following topics will be covered in Keyword Research. What Is Keyword The impotence of Keyword Research Different types of keywords How to do Analysis of keywords using Free & Paid Tools How to find easy to rank keywords related to your website and business How to do Analysis of Keyword Using Chrome Extension How to find the Ranking Keyword Of competitor Selecting the right keywords for the project How to Know Top ranking Keywords of your sites How to Find hidden ranking keywords of your website What Is LSI Keywords : Easy Strategies To find LSI KeywordsModule 4: Content Planning and CreationContent is the king of SEO to boost the ranking of any website. This module will discuss how we can create content that search engines will love to rank. Content Research Content Structure Content Planning With KeywordsModule 5: On-Page SEOOn-page SEO is key of success for an SEO campaign. In this module of On-Page SEO training, we teach optimization of the content of a web page. That can be either a post or a page on a website. In this On-Page SEO Course, The following factors will be discussed as per our On-page SEO syllabus. What is On-Page SEO On-page SEO checklist : we have a proven checklist with help of that you can verify your on-page SEO efforts. Title Optimization: How to select the right title for your page which will boost your CTR Content optimization: How to create content that will make visitor like to read and search engine will love to rank Header Tags Optimization: how and where to use (H1, h2, h3, h4) tags Meta Description optimization: how to write meta description to increase your CTR Image optimization: how to optimize Image for Search Engine How many images you add to your post Internal links: How many Internal links you should add to your post. Outbound links: Which & How many outbound links you should add to your post Schema MarkupModule 6: Off-page SEOIn this technique of optimization, we don't do anything on a website that we optimize. Whatever step we will take to optimize a website, that will be out of that website. The following factors will be discussed as per our Off-page SEO course syllabus. On page Vs. Off-Page Optimization Introduction to Back Links: Why is it important for SEO What is Anchor text and why it is important in link building When you should start creating backlinks Some proven ways to get backlinks organically Easy Method to generate high-quality Do-follow backlinks Social media submission Module 7: Avoid Negative SEO Negative SEO refers to the mistake done by us, knowingly or unknowingly. We should avoid that. Our competitors also do some time negative SEO. We also need to protect our website from that kind of negative SEO. What falls under Negative SEO Avoid duplicate content on your website What is Black hat SEO Some deadly Mistake that is done by website owners Some bad practice you should never do on the website Common Negative SEO practiced by your competitor What step should you take to defend against negative SEO Module 8: Local SEOLocal SEO is an SEO strategy that makes any business more visible for local searches on Google. Local SEO is beneficial for any business that serves in a specific area or has a physical address. What is local SEO and why is it important Important Local SEO factors Setup of Google My Business (GMB) How to optimize GMB Listing Important elements you must optimize on GMB listing Citations: What is citation & Benefits of citations in Local SEOModule 9: YouTube SEOYouTube SEO Ranking Factors Video Optimization Title Optimization Description Optimization Thumbnail Optimization How to Increase YouTube Subscribers OrganicallyModule 10: AnalysisAn analysis is an essential part of strategies while optimizing a website. It helps you to keep an eye on your website performance. How to make SEO Strategy from Google Search Console & Google Analytics How to maintain the position of existing ranking keywords How to keep Eyes On Competitor Ranking KeywordsModule 11: CertificationIn this module, we will show a step-by-step process of getting certification from Google to become a Google certified professional. Google Analytics Certification Google Ads Certification That will keep your resume unique from the crowd by showing you are a Google certified professional. Above-mentioned Online SEO Course Syllabus is an overview of the course content we discuss during the training program. We also provide valuable information that our SEO Expert Trainer has learned from their experiences. At the time of making this Online SEO course program, we have considered so many points. That a beginner face during learning SEO. Our SEO course training program helps anyone, either blogger or those who want to make their SEO career."
2,Wanted Google Ads Trainer,Fazo Software,3-6 years,Not Specified,"We are looking for a google Ads Trainer: Mode: WFH  Experience: 3 to 6 years Job Type: Part-time Responsibilities: 	Manage all aspects of Google Ad campaigns  	Create and optimize ad campaigns and paid search landing pages 	Analyze and optimize ad campaigns to increase return on investment (ROI)  	Use Google Ads to drive a variety of online marketing campaigns  	Analyze and optimize pay-per-click (PPC) campaigns to increase ROI  	Manage and optimize display campaigns across multiple devices  	Develop PPC strategies to increase online visibility 	3+ years of proven expertise in managing SEM team and optimizing large and complex Google Ads + Bing search campaigns end-to-end, with at least 80% of time dedicated to Google Ads and Bing. 	In-depth understanding and experience in using more advanced Google Ads feature/capabilities beyond just standard search ads.Regards,Hr RecruiterTamil Selvi - 6374808456."
3,Digital Marketing,Cygnus Staffing Solutions,3-8 years,Not Specified,"Client of Cygnus Staffing Solutions, a leading Australian Education & Immigration Company, looking forDigital Marketing ExecutiveKey Responsibilities: Build, plan and implement the overall digital marketing activityResponsible for brand promotion and lead generation through Digital Marketing Activities.Managed weekly basic Google AdWords & Social media campaigns Closely worked with internal sales team in closing the leads generated through digital marketing activities.Preparing daily basic work reports and attending weekly basis status calls with clients and internal managing team.Performed on-page and off-page activities for clients & in-house Managed and improved website content, considering SEO and Google Analyticspreparing strategy for inbound marketing plan.Designed flyers and posted in Social Media channels like Facebook, LinkedIn & Twitter,Generate qualified leads.Prepared daily basic work reports and attended weekly basis status calls with clients and internal managing team. Improved website content, considering SEO and Google Analytics Prepared strategies for inbound marketing plan.Closely worked with CXO team.Good command on Digital Marketing tools like MOZ, SEMrush, Hub spot & AHREF.Experienced in Paid Advertising like Google AdWords, Bing, & YouTube promotions (Search, Display and Video Ads)Extensive experience in reporting platforms such as Google Analytics, Search Console and Hub Spot.Creative in Budget Planning and Bidding System for Paid Campaigns (AdWords & Social Media).Good experience in Customers Data Profiling & Building.Good experience in Content Management & Blog Articles writing skills in different CMS environments.Good experience in Email Marketing Campaigns (Tools like Mail chimp, Get Response& Others).Qualifications: Any Graduate / Post Graduate Experience : 3 to 8 yrs. Good Comm & Presentation Skills. Salary : Negotiable Job Location : Hitech City, Phase 2, Madhapur, Hyderabad. Contact Immediately: Cygnus Staffing Solutions email: cygnusresumes(AT)gmail.com (AT) = @ Phone : 9848912988 www.cygnusstaffingsolutions.com"
4,Content Manager,Company Name Confidential,4-10 years,1200000 - 2000000 INR,"Hello Candidate, We have urgent openings for Content publishing Company Name - Wunderman Thompson Studios Designation- Content publishing Experience - 5 to 10 years Job Location- Gurugram  Current CTCExpected CTCNotice PeriodIf Serving Notice Period, Whats your last working DayIf you have any offer in hand please let us knowQ1. Current locationQ2. Content publishing experience (In years)Q3. Experience in CSS, HTML (In years)Company Description Description Wunderman Thompson is a growth partner  part creative agency, part consultancy and part technology company, our experts deliver inspiration across the entire brand and customer experience. Globally, we are 20,000 strong in 90 markets around the world, whereour people bringtogethercreativestorytelling,diverse perspectives, inclusive thinking,and highly specializedvertical capabilities,to drive growthfor our clients.We offer deep expertise across the entire customer journey, including communications, commerce, consultancy, CRM, CX, data, production, and technology to provide end-to-end solutions that deliver revolutionary work. Job Description Roles and Responsibilities: Understanding client s guidelines and standards for web sites Add/remove/change web parts and web part pages to existing tabs/sub tabs Maintenance of related links in the HTML editing site according to the new content being posted and completion of various tasks Basic image assets editing Providing training to individual publishers/users if new content is added Follow established document workflow standards for publishing content within the client's portal Typically works on High and moderate complexity requests Work with content providers to ensure that Client global standards are followed in all content that are posted Knowledge on basic HTML, CSS, etc. Good understanding on Content Management System (CMS platforms), its components, advantages Website structures, web layouts, template design, etc.Skills Needed HTML, CSS and AEM CMS Platform Knowledge of and experience with digital marketing technologies Experience using digital marketing products and vertical experience Additional Information Developing People Shares knowledge and supports peers, staff and others to increase skills, foster improvement and enhance outcomes. Help and support others to perform to their full potential.Creativity & Innovation Consistently demonstrates foresight & proactively seeks opportunities to expand knowledge of innovative solutions and ideas. Demonstrates commitment to seek out opportunities and contributes to developing innovative or alternative solutions.Analysis & Problem Solving Analyzes and prioritizes situations to identify and solve problems. Provide solutions that increases efficiency and improve quality"
5,Digital Marketing,Manvsion consulting Pvt Ltd,2-4 years,Not Specified,"Experience in SEO, SEM, SMO, PPC, social media, email marketing, content marketing and web analytics/google analyticsKnowledge of Ad Platforms: AdWords, Facebook Ads, Keyword PlannerStrong working knowledge of HTML, WordPress, JavaScript and PHP"
6,Digital Architect,Tata Group,7-9 years,Not Specified,"TCS Hiring for,Role: Digital Architect JAVA MSKeyword: Messaging AdminExperience:7-9yrsLocation: Bangalore/ChennaiJob DescriptionIdentify /raise different types of risks (security, capacity, ) on the plant and work onmitigation approaches / preventive measuresHands on experience with Java8Interfacewith in-house application engineers and developers for enhancements toapplications based on end-user feedback and escalate requirements forcontinuous improvement of the service toolsHands on experience with Hibernate / JPASetup,upgrade migrate middleware instancesThorough understanding of core java (OOPS)concepts and its usageGood communicationskills"
7,Digital Designer,Mastercard,Not Specified,Not Specified,"Our PurposeWe work to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments and businesses realize their greatest potential. Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company. We cultivate a culture of inclusion (https://www.mastercard.us/en-us/vision/who-we-are/diversity-inclusion.html) for all employees that respects their individual strengths, views, and experiences. We believe that our differences enable us to be a better team - one that makes better decisions, drives innovation and delivers better business results. Job TitleDigital Designer Overview Love solving complex problems with simple, elegant design The Mastercard Creative Studio is looking for a talented digital designer with a passion for technology to join our amazing in-house creative team and bring the Mastercard brand to life across a wide variety of applications. Role As a designer in the Creative Studio, you'll work closely with internal team members (writers, designers, videographers, and UI/UX designers) and stakeholders across the company (marketing, product sales, thought leaders) to produce a wide variety of content. You should apply if you're a skilled designer with an eye for simplicity. You understand branding and are comfortable working within global brand guidelines. You've worked across various media and formats, including web, email/CRM, social, experience, collateral, multi-page reports, and infographics. You understand the importance of user experience and approach every project with the end-user as your starting point. You understand the ability of good design to deliver a clear message and emotion. You're a strategic thinker who asks the right questions to uncover the underlying why. You're always looking for ways to infuse a creative edge into everything you do. Finally, you have a growth mindset. You're passionate about skill development, continual learning, and maximizing every opportunity to push yourself and those around you. All about you - necessary skills: Digital design . Possess expert knowledge in graphic and digital design with the ability to apply style guides creatively while upholding brand identity for elements including email templates, interactive online content, social media, event materials, web banners, responsive design and other online marketing materials . Apply solid conceptual skills, a high-level sense of typography, illustration, and visual composition . Quickly translate ideas into sketches, wireframes, mockups, and interactive prototypes . Interpret Mastercard brand guidelines successfully across a range of media and formats, including web, email/CRM, social, experience, collateral, multi-page reports, responsive design and infographics . Skilled in interactive design and experienced with industry standard interaction design and visualization tools . Display creative curiosity by seeking out new design techniques, learning new interaction design software and maintaining cutting edge industry knowledge Business skills . Collaborate with and serve as a strategic partner to internal team and stakeholders across the company-partner with global and regional communication teams, marketing, sales, and product and technology teams as required to connect dots for effective storytelling . Understand the business goals and marketing strategies of our stakeholders . Work effectively with others to identify challenges and opportunities and use creative and strategic thinking to generate solutions . Work close with web development teams to oversee the smooth implementation of newly designed content . Manage creative requirements, expectations, and deadlines for all projects Workstyle . A quick learner with the ability to multi-task in a fast-paced team environment . Ability to work effectively from home/remotely as required . Passionate problem solver with a love of design . Self-motivated and detail-oriented, with a positive get stuff done mindset . Possess a growth mindset and a willingness to give and receive feedback . Collaborative and respectful of diverse perspectives and other creative skill sets Required Experience . Bachelor's degree in Graphic Design or related discipline . Experience as a graphic designer, or UX/UI designer in a corporate or agency environment preferred . Advanced proficiency in Adobe Creative Suite, including InDesign, Illustrator, Photoshop, Sketch, Figma and InVision . Bonus points for experience with After Effects, Zeplin, illustration, HTML/CSS, video editing, Ceros or tools related to interaction design . Experience with project management software Please submit design samples or a link to a portfolio with your application. Candidates without samples will not be considered. COVID-19 ConsiderationsIn many locations, we've implemented a virtual hiring process and continue to interview candidates by video or phone. In addition, in our NYC offices, as required by law, only individuals who have been fully vaccinated against COVID-19 will be permitted inside Mastercard offices unless a reasonable accommodation has been approved in advance. Corporate Security ResponsibilityAll activities involving access to Mastercard assets, information, and networks comes with an inherent risk to the organization and, therefore, it is expected that every person working for, or on behalf of, Mastercard is responsible for information security and must: Abide by Mastercard's security policies and practicesEnsure the confidentiality and integrity of the information being accessedReport any suspected information security violation or breach, andComplete all periodic mandatory security trainings in accordance with Mastercard's guidelines."
8,Content and Digital Marketing Specialist,Company Name Confidential,1-6 years,210000 - 300000 INR,"B2B Marketing experience 	Highly creative with experience in identifying target audiences and devising digital campaigns that engage, inform and motivate 	Identify trends and execute SEO campaigns. 	Collect data, analyze results. 	Increase ROI of paid campaigns. 	Execute Free/ paid campaigns. 	Allocate budgets to campaigns. 	Optimize landing pages. 	Excellent writing skills 	Define, strategize & execute focused campaigns"
9,Digital Associate,Amazon,Not Specified,Not Specified,"Job Description :Job summary. Work on defined set of instructions to collect ground truth data for the product development.. Perform execution and report results accurately.. Understand procedures and guidelines for new tasks / releases. Perform repetitive exercises based on the dynamic instructions without compromising on quality. Use software tools for data capture and comply with the processes of the organization on a daily basis. Be comfortable with capturing results, communicating and escalating failures and providing individual status reports and adhering to Productivity and Quality base lines.. Raising all failures/doubts related to the execution in the portal and closing the same as per the SLA's. Own the daily targets against internal and external dependenciesBasic Qualifications :. A graduate in any field of study. (M.Sc.,B.Sc.,) Quantitative fields such as science and engineering preferred but not mandatory. Good familiarity with the Windows desktop environment and use of Word, Excel, IE, Firefox etc. are required. Ability to handle multiple category images in a fast-paced environmentAmazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer, and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, disability, age, or other legally protected status.Preferred Qualifications :. Good familiarity with the Windows desktop environment and use of Word, Excel, IE, Firefox etc. are required. Flexibility and Interest to do repetitive tasks is required. High level of energy and proactive nature. A sense of ownership and drive and a willingness to accept the challenge of daily deadlines is essential"
