SN,Title,Company,Experience,Salary,Description
0,Assistant Manager - Platform Planning & Design,Tata Communications Limited,4-8 years,Not Specified,"Job Family DescriptorBroad outline of the RoleMay be an individual contributor or may lead a team through application of deep knowledge of one job area or broad knowledge of several job areas within Platform Planning and Design. Operational role, responsible for setting objectives and delivering results that have a significant impact within the context of a wider operational area. Capable of instructing professional or technical staff and reviewing the quality of the work undertaken by these roles. Capable of identifying key issues and priorities and focusing on these to deliver required results with minimal direction and supervision. Demonstrates a level of flexibility in resolving problems/issues that at least to in-depth command of all techniques, processes, tools and standards, within the relevant field of specialisation. Able to identify problems and significantly improve, change or adapt existing methods and techniques. Education: Engineer/ ME/MTech Experience: 4-8 yearsPurpose - Broad objective of the roleOperating Network - Key ExternalOperating Network - Key InternalSize and Scope of Role - FinancialSize and Scope of Role - No. of direct reportsSize and Scope of Role - Total teamSize and Scope of Role - Other parametersMinimum qualification & experienceOther knowledge/skillsKey ResponsibilitiesTechnical CompetenciesKnowledge / SkillsCommunication Skills"
1,"Live Lecture Specialist, Amazon Academy",Amazon,5-8 years,Not Specified,"DESCRIPTIONJob summaryAmazon is a pioneering, dynamic, and energetic company that thrives on unique and peculiar ways. We take pride in our single-minded obsession over customer satisfaction and our ability to maintain a curious and vibrant culture no matter how large the company grows. We endeavor to build our legacy as Earth's most customer-centric company and to continue to cultivate and nourish our innovative environment through our mission to hire the best.As a specialist for Live Lecture, you will be responsible for playing a critical role in defining the live lecture requirements, execution and final delivery. You will define the SOP's and processes for the teachers, vendors and internal team to create live lecture relevant for IIT-JEE/NEET/CBSE. We want someone who cares deeply about improving student engagement. You will have the opportunity to make a tangible impact on our customers lives by improving student learning.You are the ideal candidate if:You have a rich portfolio of devising academic strategies that successfully drives engagement and improving student learning across JEE/NEET/CBSE content including but not limited to strategy of live lecture/Teacher success metrics/Teacher Training/Student outcome etc.You've shown you can leverage insights from market research and VOC to guide student improvement strategyYou can define, create and manage processes/SOP's including development of a framework for creating engaging and visually appealing live lectures.You bring an entrepreneurial spirit and are known as a Inventor and deployer - a leader who can establish process and structure from scratchYou are able to present to and influence stakeholders and are capable of writing and owning live lecture aspects in a document.Creative problem-solver with a growth mindset you actively and intuitively find ways to simplify process and improve performanceEstablish goals, plans, and metrics to track progress and achieve program objectives.BASIC QUALIFICATIONS5+ years of experience working on live lecture strategy with an Ed-Tech organization.5+ years of teaching for JEE/NEET/Senior grades across Science related subjectsExcellent communication, writing and influencing skills, and be both academic and creativePREFERRED QUALIFICATIONS3+ years experience of teaching aspirants of JEE and NEET"
2,Educational counsellor - Canada,A V Immigration And Careers Consultancy Private Limited,5-10 years,Not Specified,"Job duties  1  counsel students regarding educational issues such as course and program selection, class scheduling, school adjustment, truancy, study habits, and career planning. 2  counsel individuals to help them understand and overcome personal, social, or behavioral problems affecting their educational or vocational situations.3  maintain accurate and complete student records as required by laws, district policies, and administrative regulations. 4  confer with parents or guardians, teachers, other counselors, and administrators to resolve students  behavioral, academic, and other problems. 5  provide crisis intervention to students when difficult situations occur at schools. 6  identify cases involving domestic abuse or other family problems affecting students  development. 7  meet with parents and guardians to discuss their children s progress, and to determine their priorities for their children and their resource needs. 8  prepare students for later educational experiences by encouraging them to explore learning opportunities and to persevere with challenging tasks."
3,Professor Required In Canada | Singapore,Adal Immigrations LLP,3-8 years,5000000 - 7000000 INR,"Call & WhatsApp to Ms.Akansha (HR)+91-9311380077Developing curricula and delivering course material.Conducting research, fieldwork, and investigations, and writing up reports.Publishing research, attending conferences, delivering presentations, and networking with others in the field.Traveling to other universities or academic settings to participate in learning opportunities and gain experience.Participating in committee, departmental, and faculty meetings.Providing training and mentoring to teaching assistants and junior lecturers.Reviewing methods and teaching materials and making recommendations for improvement.Assisting with student recruitment, interviews, and academic counseling sessions.Contributing to the creation of an environment that promotes growth, equality, and freedom of speech."
4,Trainee Trainer- Fresher,Rooman Technologies Private Limited,Fresher,110000 - 220000 INR,https://rooman.net/careers/ https://rooman.com/career/1.Cloud Services Technical Trainer- AWS Azure2.Cyber Security Trainer3FTCP Trainer4. FTNS Trainer
5,English Professor Required In Canada | Hong Kong,Cloud Visa Immigration LLP,3-8 years,5000000 - 7000000 INR,"Call & WhatsApp to Ms.Sneha (HR)-9311529770 Teach courses commensurate to established syllabi. Advise and register assigned students as role of English professor. Participate in retention, placement and cooperative educational activities of students. Prepare and maintain current course syllabi, course outlines and classroom expectations for each course taught. Examine and recommend adequate instructional materials for courses taught. Involve in departmental budget and objectives development. Provide assistance in communication between College and community. Participate in formulation, interpretation and application of division policies and procedures. Participate in course schedules development and coordination. Provide assistance in English student recruitment. Update and maintain accurate academic records. Involve in assigned college committees and professional development activities."
6,Lecturer,Roundworld Immigration Private Limited,3-8 years,5300000 - 6520000 INR,"May serve on faculty committees dealing with such matters as curriculum planning and degree requirements, and perform a variety of administrative dutiesMay represent their universities as speakers and guest lecturers"
7,Counselor,RPG Ventures,2-7 years,Not Specified,Roles and Responsibilities: Team Management Counseling Student Experience Supervisory Activities Sales Activities & Events Reputation & Loyalty Management Meet Business targets of the organization
8,"Tutor – BYJU’S Home Tuitions
Part Time",BYJUS,Not Specified,Not Specified,"We are looking for Tutors to revolutionize Home Tuitions in India Join us to be part of a learning revolution in the field of Home Tution. BYJU'S is hiring talented and enthusiasts tutors who can teach students at their home to bring out the best outcomes. If you're passionate about teaching come join us to help students fall in the love with learning. Job Role:Part Time Tutor(Grade 1 to 10)Location:Home tuition at Student's Residence in your preferred areaWorking days & Shift:Your preffered days and time slots Department:Academics Advantages of working with Byju's Home TuitionYou can follow your passionLet's Learn Unlearn and Relearn togetherRoles and Responsibilities:Teach students as per curriculum and schedule with personalised attentionDiscuss homework, resolve doubts and prepare customized assessmentsOne-on-One Concept LearningDetailed Study Plan for futureQualifications:Graduate/ Post Graduate in any streamExperience & Skills:Good communication & explanation skillsA patient and resilient personalityDedication to students and educationWho can Apply:Anyone interested in teaching (Housewives, Working Professionals, School Teacher, etc.)Those who are Pursuing UG/PG can also apply.Should own a two/four wheeler with a valid driving license"
9,Digital Assistant,Koneru Lakshmaiah Education Foundation,2-6 years,170000 - 290000 INR,"Digital AssistantExperience: 0 to 2 years. (Fresher can also apply)Role & Responsibilities:1) Lend and collect books, periodicals, videotapes, and other materials at circulation desks.2) Enter and update patrons records on computers.3) Process new materials including books, audiovisual materials, and computer software.4) Sort books, publications, and other items according to established procedure and return them to shelves, files, or other designated storage areas.5) Locate library materials for patrons, including books, periodicals, tape cassettes, Braille volumes, and pictures.6) Instruct patrons on how to use reference sources, card catalogs, and automated information systems.7) Inspect returned books for condition and due-date status, and compute any applicable fines.8) Answer routine inquiries, and refer patrons in need of professional assistance to librarians.9) Maintain records of items received, stored, issued, and returned, and file catalog cards according to system used.10) Perform clerical activities such as filing, typing, word processing, photocopying and mailing out material, and mail sorting.11) Provide assistance to librarians in the maintenance of collections of books, periodicals, magazines, newspapers, and audiovisual and other materials.12) Take action to deal with disruptive or problem patrons.13) Classify and catalog items according to content and purpose.14) Register new patrons and issue borrower identification cards that permit patrons to borrow books and other materials.15) Send out notices and accept fine payments for lost or overdue books.16) Operate small branch libraries, under the direction of off-site librarian supervisors.17) Prepare, store, and retrieve classification and catalog information, lecture notes, or other information related to stored documents, using computers.18) Schedule and supervise clerical workers, volunteers, and student assistants.19) Operate and maintain audiovisual equipment.20) Review records, such as microfilm and issue cards, in order to identify titles of overdue materials and delinquent borrowers.21) Select substitute titles when requested materials are unavailable following criteria such as age, education, and interests.22) Repair books, using mending tape, paste, and brushes.23) Deliver and retrieve items to and from departments by hand or using push carts.24) Facilitate the acquisition of books, pamphlets, periodicals, and audiovisual materials by checking prices, figuring costs, and preparing appropriate order forms.25) Place books in mailing containers, affix address labels, and secure containers with straps for mailing to blind library patrons.26) Assist in the preparation of book displays.Desired Candidate Profile:Should have Good communication skills.Should have good subject knowledge.Directly Can Mail to [Confidential Information]Thanks & regardsMohan Rao CHR-Manager|HR-Dept9440126506Green Fields, Vaddeswaram, Guntur District, A.P., India. Pincode : 522 502.Tel: (91) 0863-2399999 Extn :1246 | Web:www.klef.edu.inNAAC A++ Grade | Approved by UGC | ISO 9001 - 2015 Certified | No.1 Engg.Institution in AP as per NIRF-2018,MHRD, Govt.of India"
