SN,Title,Company,Experience,Salary,Description
0,FUND ACCOUNTING ANALYST,Citi,Not Specified,Not Specified,"The Fund Accounting Analyst is an senior level processing position responsible for assisting in a variety of fund valuation activities in coordination with the Operations - Transaction Services team. The overall objective of this role is to assist in the calculation of daily and periodic Net Asset Valuations (NAVs) for funds and the distribution of associated unit prices.Responsibilities:Monitor the work activities to ensure timeliness/accuracy of the funds activities in a department, including calculation of NAV and distribution factorsAssist in reviewing stock and cash reconciliations as a Checker to ensure the exceptions noted have no NAV impact and items cleared are treated correctlyEnsure corporate actions are correctly reflected on the NAVAssist in handling complex issuesFacilitate prompt investigation and resolution of any client queries in a timely and professional mannerEnsure client Service Level Agreement (SLA) and deadlines are metAssist in the collection and analysis of relevant management information from an operational and client perspectiveAppropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.Qualifications:Relevant experience is a mustExperience in accounting, finance, or business-related areaExperience within Financial Services or OperationsProven experience in funds administrationKnowledge of funds accounting services and processesEducation:Bachelor's degree/University degree or equivalent experienceMBA graduates, CFA certification or Chartered Accountants preferred-------------------------------------------------Job Family Group: Operations - Transaction Services-------------------------------------------------Job Family:Fund Accounting------------------------------------------------------Time Type:Full time------------------------------------------------------Citi is an equal opportunity and affirmative action employer.Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.Citigroup Inc. and its subsidiaries (Citi) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review .View the  poster. View the .View the .View the"
1,AVP - FBR Accounting,Citi,8-10 years,Not Specified,"The Finance Reporting Manager is an intermediate level position responsible for providing full leadership and direction to a team of employees in an effort to provide regulatory analysis and reporting in coordination with the Finance team. The Finance Reporting Manager leads the team in accounting activities such as the closing of books and sub-ledgers, adjustment entries and consolidating financials at the end of each period. The overall objective is to lead a Finance operational team through delegation and supervision to ensure they perform monthly activities on time and follow specified guidelines as well as contribute to the development of new techniques, models and plans within the area of expertise.Finance & Risk Shared Services (FRSS) is a part of Citi Shared Services (CSS) and is responsible for delivering financial, regulatory and risk reporting solutions to all of Citi businesses and regions through our global service centers. FRSS is a key business partner to Citi Finance as well as the Risk organization.The opportunity is within FRSS Centralized Utility team. The objective of this team is to drive appropriate accounting and financial treatment across the divested markets. Providing end-to-end financial supportThe Assistant Vice President role is a seasoned professional role. Applies in-depth disciplinary knowledge, contributing to the development of new techniques and the improvement of processes and work-flow for the area or function. Integrates subject matter and industry expertise within a defined area. Requires in-depth understanding of how areas collectively integrate within the sub-function as well as coordinate and contribute to the objectives of the function and overall business. Evaluates moderately complex and variable issues with substantial potential impact, where development of an approach/taking of an action involves weighing various alternatives and balancing potentially conflicting situations using multiple sources of information. Requires good analytical skills in order to filter, prioritize and validate potentially complex and dynamic material from multiple sources.Strong communication and diplomacy skills are required. Regularly assumes informal/formal leadership role within teams. Involved in coaching and training of new recruits Significant impact in terms of project , geography, etc. by influencing decisions through advice, counsel and/or facilitating services to others in area of specialization. Work and performance of all teams in the area are directly affected by the performance of the individual.Responsibilities:Prepare/Review monthly APS, Pearl & Full Suite report for exit marketsPrepare/Review Reconciliation local ledger of billable and non-billable chargesInvestigation and analysis into actual country expense balances in TSA and Non-TSA GOC, working closely with TSA Billing on anticipated and unanticipated chargesPrepare/Review Preparation of APS template, UAT testing and change management of intercompany chargesManages one or more processes, reports, procedures or products, and considered analytical or procedural expert representing a unit or team on cross-function process or project deliverables.Take responsibility for the accurate reporting of accounting reconciliations on Citi reporting tools.Review and examine key controls for accounting process within the process handled.Resolves complex problems or transactions, where expertise is required to interpret policies, guidelines or processes.Applies in-depth understanding of concepts and procedures within own area and basic knowledge of other areas to resolve issues that have impact beyond own area.Develops and demonstrates an understanding of how assigned areas of process collectively integrate to contribute to achieving business goals.Analyse the queries raised and ensure solution to the stakeholdersEnsures essential procedures are followed and contributes to defining standards.Persuades and influences others through strong communication and diplomacy skillsAppropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.Qualifications:8-10 years of previous experience required in finance domain with commensurate stakeholder management experienceProven problem-solving and decision-making skillsConsistently demonstrates clear and concise written and verbal communication skillsEducation:CA/MBA degree or equivalent experienceThis job description provides a high-level review of the types of work performed. Other job-related duties may be assigned as required.-------------------------------------------------Job Family Group: Finance-------------------------------------------------Job Family:Financial Reporting------------------------------------------------------Time Type:Full time------------------------------------------------------Citi is an equal opportunity and affirmative action employer.Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.Citigroup Inc. and its subsidiaries (Citi) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review .View the  poster. View the .View the .View the"
2,Finance and Accounting,Tata Group,1-6 years,Not Specified,BPO3 (Team Member Team LeaderNagpur.Graduate with 1 to 6 years of Finance and Accounting Experience. Language requirement - English.Analytical thinking.Strong Communication.Result orientation.Excellent Knowledge of Excel and PowerPoint.Good domain expertise.Good understanding of ERP.Project ManagementoUnbilled RevenueoIdentify queries and seek towards resolutionoProcess customer invoices as per the SLA.Others:oGeneration of system-based reports
3,Financial Accounting Associate,Wells Fargo,3-6 years,Not Specified,"Job Description :About this role:Wells Fargo is seeking a Financial Accounting Associate...In this role, you will:Provide support for financial accounting related matters for lines of business and control functionsReview basic activities associated with maintaining ledger accounts, financial statements and regulatory reportsGather financial data for financial and regulatory reportsReview data from the general ledger, unit reports and various financial systems to ensure accuracyReceive direction from managers and exercise independent judgment while developing understanding of financial control functions in accordance with the company's internal control policiesCollaborate and consult with peers, colleagues and managers to resolve issues and achieve goalsRequired Qualifications:3+ years of Finance, Accounting, Analytics, Financial Reporting, Accounting Reporting or Risk Reporting experience, or equivalent demonstrated through one or a combination of the following: work experience, training, military experience, educationRequired Qualifications, International:Experience in Finance, Accounting, Analytics, Financial Reporting, Accounting Reporting, Risk Reporting, or equivalent demonstrated through one or a combination of the following: work experience, training, military experience, educationDesired Qualifications:CA/CMA/CS/MBA/M.ComJob Expectations:Should have experience in US GAAP/IFRSShould have experience in any ERP, also good excel knowledgeProvide support for financial accounting related matters for lines of business and control functionsReview basic activities associated with maintaining ledger accounts, financial statements and regulatory reportsGather financial data for financial and regulatory reportsReview data from the general ledger, unit reports and various financial systems to ensure accuracyReceive direction from managers and exercise independent judgment while developing understanding of financial control functions in accordance with the company's internal control policiesCollaborate and consult with peers, colleagues and managers to resolve issues and achieve goalsWe Value DiversityAt Wells Fargo, we believe in diversity, equity and inclusion in the workplace accordingly, we welcome applications for employment from all qualified candidates, regardless of race, color, gender, national origin, religion, age, sexual orientation, gender identity, gender expression, genetic information, individuals with disabilities, pregnancy, marital status, status as a protected veteran or any other status protected by applicable law.Employees support our focus on building strong customer relationships balanced with a strong risk mitigating and compliance-driven culture which firmly establishes those disciplines as critical to the success of our customers and company. They are accountable for execution of all applicable risk programs (Credit, Market, Financial Crimes, Operational, Regulatory Compliance), which includes effectively following and adhering to applicable Wells Fargo policies and procedures, appropriately fulfilling risk and compliance obligations, timely and effective escalation and remediation of issues, and making sound risk decisions. There is emphasis on proactive monitoring, governance, risk identification and escalation, as well as making sound risk decisions commensurate with the business unit's risk appetite and all risk and compliance program requirements.Candidates applying to job openings posted in US:All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.Candidates applying to job openings posted in Canada: Applications for employment are encouraged from all qualified candidates, including women, persons with disabilities, aboriginal peoples and visible minorities. Accommodation for applicants with disabilities is available upon request in connection with the recruitment process."
4,C04- Fund Accounting,Citi,1-3 years,Not Specified,"The Fund Accounting Specialist is an entry level position responsible for assisting in a variety of fund valuation activities in coordination with the Operations - Transaction Services team. The overall objective of this role is to assist in the calculation of daily and periodic Net Asset Valuations (NAVs) for funds and the distribution of associated unit prices.Responsibilities:Complete activities relating to the accurate and timely delivery of valuations for defined clientsAssist in planning and organizing for the investigation and resolution of exceptions to expected results on valuations, and the delivery of unit prices/NAVs in accordance with established deadlinesAnalyze cause and suggest enhancements for recurring exceptions through review of reconciliations and analysis of NAVsReview stock and cash reconciliations to ensure that the exceptions noted have no NAV impact and items cleared are treated correctlyEnsure the corporate actions are correctly reflected on the NAV and that security prices applied to funds are correctly statedDemonstrate initiative and lead ongoing development of team processes, procedures, and positive working environmentAssist in the prompt investigation and resolution of client queries, and ensure client Service Level Agreement (SLA) and deadlines are metAppropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.Qualifications:1-3 years of relevant experienceExperience with fund accountingExperience within financial institutions preferredKnowledge of financial market operationsBasic knowledge of organization and policiesThird level qualification studying for ACCA, ACA or CIMA at an advanced level preferredProficient computer skills with a focus on Microsoft Office applicationsConsistently demonstrates clear and concise written and verbal communicationEducation:High School diploma or equivalent-------------------------------------------------Job Family Group: Operations - Transaction Services-------------------------------------------------Job Family:Fund Accounting------------------------------------------------------Time Type:Full time------------------------------------------------------Citi is an equal opportunity and affirmative action employer.Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.Citigroup Inc. and its subsidiaries (Citi) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review .View the  poster. View the .View the .View the"
5,FUND ACCOUNTING SENIOR ANALYST,Citi,6-8 years,Not Specified,"The Fund Accounting Analyst is an senior level processing position responsible for participating in a variety of fund valuation activities in coordination with the Operations - Transaction Services team. The overall objective of this role is to assist in the calculation of daily and periodic Net Asset Valuations (NAVs) for funds and the distribution of associated unit prices.Responsibilities:Monitor work activities to ensure timeliness and accuracy of the funds activities in a department, including calculation of NAV and distribution factorsAssist in preparing financial statements, tax reporting, and regulatory filingsServe as the Senior Checker for complex tasksReview aging break items and breaks over a certain dollar thresholdTrack delivery for the clients assignedAssist the team manager in audit queries, client queries, and risk related itemsServe as backup to the team coordinator or managerAppropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.Qualifications:6-8 years of relevant experience is a mustExperience in accounting, finance, or business-related areaExperience in fund administration is requiredKnowledge of financial operationsConsistently demonstrates clear and concise written and verbal communicationEducation:Bachelor's degree/University degree or equivalent experienceMBA graduates, CFA certification or Chartered Accountants preferred-------------------------------------------------Job Family Group: Operations - Transaction Services-------------------------------------------------Job Family:Fund Accounting------------------------------------------------------Time Type:Full time------------------------------------------------------Citi is an equal opportunity and affirmative action employer.Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.Citigroup Inc. and its subsidiaries (Citi) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review .View the  poster. View the .View the .View the"
6,FUND ACCOUNTING SPECIALST -C05,Citi,2-4 years,Not Specified,"The Fund Accounting Specialist is an entry level position responsible for assisting in a variety of fund valuation activities in coordination with the Operations - Transaction Services team. The overall objective of this role is to assist in the calculation of daily and periodic Net Asset Valuations (NAVs) for funds and the distribution of associated unit prices.Responsibilities:Complete activities relating to the accurate and timely delivery of valuations for defined clientsReview stock and cash reconciliations to ensure the exceptions noted have no NAV impact and items cleared are treatedAnalyze cause and suggest enhancements for recurring exceptions through review of reconciliations and analysis of NAVsAssist in ensuring the corporate actions are correctly reflected on the NAVAssist in the collection and analysis of relevant management information from an operational and client perspectiveAid in the ongoing development of team processes, procedures, and positive working environmentAid in the prompt investigation and resolution of client queries, and ensure client Service Level Agreement (SLA) and deadlines are metAppropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.Qualifications:2-4 years of relevant experienceExperience within financial servicesKnowledge of financial market operations, accounting, and basics of financial managementDemonstrated knowledge of accountingBasic knowledge of organization and policiesStudying for ACCA, ACA or CIMA at an advanced levelConsistently demonstrates clear and concise written and verbal communicationEducation:High School diploma or equivalent-------------------------------------------------Job Family Group: Operations - Transaction Services-------------------------------------------------Job Family:Fund Accounting------------------------------------------------------Time Type:Full time------------------------------------------------------Citi is an equal opportunity and affirmative action employer.Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.Citigroup Inc. and its subsidiaries (Citi) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review .View the  poster. View the .View the .View the"
7,Operational Accounting Assistant,Wells Fargo,Not Specified,Not Specified,"Job Description :About this role:Wells Fargo is seeking an Operational Accounting Assistant...In this role, you will:Perform a variety of activities related to reconciling and balancing accountsResearch and resolve moderately complex accounting issues and exceptionsResolve disputes for customers, clients and vendors, related to balancing situationsCollaborate and consult with peers, colleagues and managers to resolve issues and achieve goalsRequired Qualifications, International:2+ Experience in Operational Accounting, or equivalent demonstrated through one or a combination of the following: work experience, training, educationDesired Qualifications:Experience in OperationsWorking knowledge in Commercial Mortgage Servicing, Commercial Real EstateJob Expectations:High accountability and flexibilityExcellent communication skills - verbal and spokenGood analytical skillsAbility to multi-task and work with stringent timelines@RWF22We Value DiversityAt Wells Fargo, we believe in diversity, equity and inclusion in the workplace accordingly, we welcome applications for employment from all qualified candidates, regardless of race, color, gender, national origin, religion, age, sexual orientation, gender identity, gender expression, genetic information, individuals with disabilities, pregnancy, marital status, status as a protected veteran or any other status protected by applicable law.Employees support our focus on building strong customer relationships balanced with a strong risk mitigating and compliance-driven culture which firmly establishes those disciplines as critical to the success of our customers and company. They are accountable for execution of all applicable risk programs (Credit, Market, Financial Crimes, Operational, Regulatory Compliance), which includes effectively following and adhering to applicable Wells Fargo policies and procedures, appropriately fulfilling risk and compliance obligations, timely and effective escalation and remediation of issues, and making sound risk decisions. There is emphasis on proactive monitoring, governance, risk identification and escalation, as well as making sound risk decisions commensurate with the business unit's risk appetite and all risk and compliance program requirements.Candidates applying to job openings posted in US:All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.Candidates applying to job openings posted in Canada: Applications for employment are encouraged from all qualified candidates, including women, persons with disabilities, aboriginal peoples and visible minorities. Accommodation for applicants with disabilities is available upon request in connection with the recruitment process."
8,Fund accounting Se supv c11,Citi,2-5 years,Not Specified,"The Fund Accounting Senior Supervisor is an intermediate management level position responsible for providing full leadership and direction to a team of employees, leading a variety of fund valuation activities in coordination with the Operations - Transaction Services team. The overall objective of this role is to ensure the seamless delivery of activities associated with Net Asset Valuations (NAVs).Responsibilities:Manage a team of fund accountant to accomplish established goals and conduct personnel duties for team (e.g. performance evaluations, hiring and disciplinary actions)Supervise daily work flow, lead process improvements coordinate workflow with related departments and recommend new work proceduresSupport NAV preparation in accordance with client requirements as well as implement incremental business and review NAV for unit trusts and investment funds ensuring accuracy of valuation reportsResolve client queries and interact with Fund Managers and other service providers/counterparts to ensure successful service delivery with support from the managerAssist with fund set-up from inception to implementation, as well as communicate and negotiate with clients regarding daily operating requirementsOccasionally handle moderately complex/exceptional/unusual issuesAppropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency, as well as effectively supervise the activity of others and create accountability with those who fail to maintain these standards.Qualifications:2-5 years of relevant experienceChartered Accountant/CFA/MBAExperience with fund accounting within financial servicesPrevious supervisory experienceDemonstrated leadership and project management skillsDemonstrated problem-solving and decision-making skillsConsistently demonstrates clear and concise written and verbal communicationDemonstrated Subject Matter Expert (SME) knowledge in related areaEducation:Bachelor's degree/University degree or equivalent experience-------------------------------------------------Job Family Group: Operations - Transaction Services-------------------------------------------------Job Family:Fund Accounting------------------------------------------------------Time Type:Full time------------------------------------------------------Citi is an equal opportunity and affirmative action employer.Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.Citigroup Inc. and its subsidiaries (Citi) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review .View the  poster. View the .View the .View the"
9,Fund Accounting Test Lead,Citi,4-6 years,Not Specified,"As a Test Lead of the User Acceptance Testing team, the person will be responsible for testing & managing Global Fund Services Applications within Client Bank's portfolio. The test lead is responsible for interacting with Global IT, Business and Operations teams to provide a high quality of product to the internal and external clients and meet the agreed and expected service standards. The job role may involve management, coordination or contribution to one, few or all phases of STLC i.e. Test Planning, Design, Execution, Defect Management and Reporting.The Test Lead will manage testing activities for Global Fund Services applications. Strong understanding of the Investment Banking business and commitment to continuous process improvement is a must. Should be flexible to work in shifts.Responsibilities:Team's activity management of more than five resources.Provide functional test analysis, planning, design, execution and reporting for testing assignments.Extensive liaison and direct contact with a diverse range of business and technology functions, both within the bank and clients.Support the Project Manager and Test Manager by contributing to the Test Plan(s) for the relevant test phases, the Test Readiness Reviews, test progress reporting, the Test Completion/Summary Reports and Test Defect Reports.Prepare & review Test Strategy, Test Scenarios, Test Cases, and TCM for a given test assignment.Play a lead role in the analysis and reporting of test results, working closely with business, technology and support areas to investigate and interpret test findings.Assist in the reception and quality assurance of the business requirements, solution design and business process documents individual projects.Conduct Defect and Status calls with quick responsiveness on high priority action items.Develop help guides/ User Manual/ MIS reports as per requirement.Develop and extend collaborative working relationships with senior clients, technology and operational support areas in order to quickly understand requirements, resolve problems/issues, suggest solutions and identify areas for service improvement.Track test progress and timely escalate issues where required.Ensure accurate and timely execution of the assigned tasks.Highlight & track defects and ensure that they are fixed before project implementation.Provide feedback to development team on the quality of code.Qualifications & Experience:Bachelor degree in Computer Science or Engineering or Commerce.4-6 years of relevant experienceProject Management certification preferredExperience in accounting, finance, or business-related areaExperience in fund administration, change management, and/or project management.Knowledge of financial operations.Consistently demonstrates clear and concise written and verbal communicationEssential -Effective Prioritization and Resource Management skillsAbility to handle E2E Test ManagementPro-active in anticipating, understanding and implementing required actions towards business needsEffective Stakeholder Management at a Global LevelProficient in MIS reporting to senior stakeholdersDrives Innovative approach towards process improvement ideasCapability to support the team of Product & Technology Business AnalystsAdaptability to any test methodologies like Agile, Waterfall, Iterative etc. as requiredExperience in different types of testing like functional, regression, black box testing etc.Ability to transform requirements to Business Scenarios & Requirement Traceability MatrixAbility to create Test artifacts like Test Strategy, Test Plan, Scope etc.Expert in Testing Tool - HP Application Lifecycle Management or JIRAProfound understanding of trade lifecycle and financial InstrumentsExtensive knowledge on Middle Office, Fund Accounting, Pricing, Transfer Agency, Collateral & Reconciliation functionsExperience in application like MOM, MOTO, Multifonds, Calypso etc.Proficient in Microsoft Office (e.g. PowerPoint, Excel, Word, Outlook)Strong verbal and written communication skills with the ability to liaise with cross functional teamsStrong interpersonal, analytical & problem solving skillsCollaborative approach towards achieving resultsEffective time management skills and ability to adhere to deadlinesGood attention to detail and high levels of accuracyAbility to work independently as well as in a teamDesirable -Ability to conduct project risk assessments and suggest mitigation plansKnowledge of Test Automation tools like Selenium, UFT, QTP etc.ISTQB or equivalent testing certificationsBasic knowledge of SQL Developer and Macros-------------------------------------------------Job Family Group: Operations - Transaction Services-------------------------------------------------Job Family:Fund Accounting------------------------------------------------------Time Type:Full time------------------------------------------------------Citi is an equal opportunity and affirmative action employer.Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.Citigroup Inc. and its subsidiaries (Citi) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review .View the  poster. View the .View the .View the"
