SN,Title,Company,Experience,Salary,Description
0,UX Designer Required In Canada | Singapore,Cloud Visa Immigration LLP,3-12 years,5000000 - 7000000 INR,"Call & WhatsApp to Ms.Sneha (HR)-9311529770 Conduct testing of sample applications, websites and software to Assess user experience and ease of design Use recent studies and findings to establish the best overall design elements to include in UX design experiences Build storyboards to conceptualize designs to accurately convey project plans to clients and senior management Create surveys for research through various media platforms to gather feedback on user's ease of use and satisfaction interfacing on company websites and products Design the aesthetics to be implemented within a website or product, from the layout menus and drop-down options to colors and fonts allowing for interface edits as needed Analyze customer responses and website data to examine high traffic web pages and determine why certain web pages perform better Enhance user experience by creating seamless navigation through various digital programs and interfaces within the company Combine interface design concepts with digital design and establish milestones to encourage cooperation and teamwork"
1,UI UX Designer,White Globe Private Limited,3-12 years,250000 - 520000 INR,"Dear Candidates,Location: Mumbai - VikhroliJob description UI & UX1. Creating user-centered designs by understanding business requirements, and user feedback 2. Creating user flows, wireframes, prototypes, and mockups 3. Translating requirements into style guides, design systems, design patterns, and attractive user interfaces 4 Designing UI elements such as input controls, navigational components, and informational components. 5. Creating original graphic designs (e.g. images, sketches, and tables) 6. Identifying and troubleshooting UX problems (e.g. responsiveness) 7. Collaborating effectively with the product, engineering, and management teams 8. Incorporating customer feedback, usage metrics, and usability findings into the design to enhance user experience. 9. Set design requirements based on briefs from internal teams and external partners 10. Define the right experience mapping, interaction model and evaluate its success 11. Communicate design ideas and prototypes to developers 12. Keep abreast of competitor products and industry trendsKey Requirements : 1. You have prior experience as a UIUX Designer as well as a strong portfolio of related projects. 2. You are proficient in Adobe Creative Suite (specifically Illustrator, InDesign, and Photoshop) 3. You are proficient in prototyping tools such as Sketch, InVision, Figma, etc. 4. Basic HTML5, CSS3, and JavaScript skills are a plus. 5. You pay strong attention to detail and have a keen eye for aesthetics. 6. You have excellent communication skills and can clearly articulate your ideas, designs, and suggestions. 7. You are a strong team player who can collaborate effectively with different stakeholders. If interested, kindly drop your updated resume along with portfolio on[Confidential Information]"
2,Consulting - HC : OT - Analyst - Change Management (CoE- Visual Design),Deloitte,3-6 years,Not Specified,"What impact will you makeEvery day, your work will make an impact that matters, while you thrive in a dynamic culture of inclusion, collaboration and high performance. As the undisputed leader in professional services, Deloitte is where you'll find unrivaled opportunities to succeed and realize your full potential. The TeamToday's business challenges present a new wave of HR, talent, and organization priorities. Deloitte's Human Capital services leverage research, analytics, and industry insights to help design and execute critical programs from business-driven HR to innovative talent, leadership, and change programs. Work you'll doAs a practitioner within the Organization Transformation (OT), you will be expected to perform the following activities within the firm: Perform project tasks independently, and may direct, coach, and supervise the efforts of analysts.Participate in the development of content deliverable that meets the needs of the client and contract.Anticipate client needs and formulate solutions to client issues with appropriate guidance from the manager/director.Maintain and expand client relationships through delivery of high-quality work.Identify and resolve issues critical to the clients strategic and operational success.Contribute to new business proposals, client presentations and proposal development.Manage and seek personal and professional development for self, including expansion of consulting skills and experiences.Manage execution of the day-to-day plan set forth by the Deloitte Human Capital team lead.Provide implementation assistance as required.Contribute to practice building and other internal practice initiatives - additional responsibilities.Work you'll do as Communication CoE professional for Change Management As Communication CoE professional at Deloitte, you will work with internal stakeholders or directly with the clients to manage and support communication and engagement campaigns for large scale transformational and other change management projects. Your role will involve: Create and deliver high quality communications for change management and learning campaigns including WBTs, scenario-based and game-based learning, simulations, rich-media ILTs, digital and print content, and collaterals for different channels and media (Newsletters, PDF Handbooks, Infographics, Mailers, Explainer Videos, Animated Videos, Presentations, UI designs for Websites and Applications, Blogs, Podcasts etc.) that are tailored to project briefs and requirements basis the agreed timeline. Ability to work on multiple communication projects or deliverables with limited oversight.Responsible for visual branding and user experience of deliverablesBeing an excellent communicator and actively participating in discussions with the change team or directly with the client to understand the communication requirement and articulate ideas.Develop content and directs creative execution to provide a consistent, targeted, and impactful message.Contribute ideas for new programs, research and recommend innovative branding techniques.Conceptualize original and unique graphic design art, illustrations, icons, and project brand logos for the clientsAlign and use appropriate images, typography, graphics, and layouts for the project basis the client's brand guidelines. Enable and manage design research, story boarding, brainstorming, and design reference sessions with the team and project stakeholders.Support design of interactive e-learning courses on need basis.Stay on top of the competitive design landscape to better understand the client's objectives and industry trends and share these insights with the design team.Skills RequiredCreative and innovative mind-set.A strong portfolio demonstrating passion for designing modern and aesthetic designs Strong hold on MS Office, Adobe Photoshop, Adobe Illustrator, Adobe InDesign, Adobe After Effects, Adobe Animate, Storyline 360, Rise 360, Adobe Captivate, Camtasia, Vyond, Powtoons, Sparkol, Biteable, Adobe XD and FigmaHas strong creative visualization, conceptualization, and excellent visual storyboarding skillsAbility to share creative inputs while brainstorming on a specific subject/topic within the team and work collaboratively.Proficiency in Visual Design, Motion Design, UI/UX design and its principles (Typography, Composition, Scale, and Color Theory) and working knowledge of how those principles work together.Outstanding verbal, written communication skills and ability to develop persuasive messages based on the information provided.Ability to take initiative, interact with all levels of management and think strategically and artistically.Excellent time and project management skills, including the ability to work on multiple projects at the same time.Relevant work experience of 3 years or more as a graphic designer, digital content creator or related role preferably with agency and corporate.Bachelor's in graphic designing/mass communication/marketing/ digital marketing or any other design-related domain. Your role as a leaderAt Deloitte India, we believe in the importance of leadership at all levels. We expect our people to embrace and live our purpose by challenging themselves to identify issues that are most important for our clients, our people, and for society and make an impact that matters. Develops self by actively seeking opportunities for growth, shares knowledge and experiences with others, and acts as a strong brand ambassador.Understands objectives for clients and Deloitte, aligns own work to objectives and sets personal priorities.Seeks opportunities to challenge self teams with others across businesses and borders to deliver and takes accountability for own and team results.Identifies and embraces our purpose and values and puts these into practice in their professional life.Builds relationships and communicates effectively to positively influence peers and other stakeholdersHow you'll growAt Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there's always room to learn. We offer opportunities to help build world-class skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs at Deloitte University, our professionals have a variety of opportunities to continue to grow throughout their career. BenefitsAt Deloitte, we know that great people make a great organization. We value our people and offer employees a broad range of benefits. Our purposeDeloitte is led by a purpose: To make an impact that matters. Every day, Deloitte people are making a real impact in the places they live and work. We pride ourselves on doing not only what is good for clients, but also what is good for our people and the communities in which we live and work-always striving to be an organization that is held up as a role model of quality, integrity, and positive change."
3,Staff Software Engineer,GE Healthcare,10-13 years,Not Specified,"Job Description SummaryAs a Staff Software UI Engineer, you will be responsible for the design and implementation of applications for Ultrasound Digital. Additionally, you will focus on activities to improve software quality and development methodologies. In this role, you will be part of a digital group focusing on cloud application development that derives value from machine and clinical data coming from our medical devices. Ultrasound Digital is a brand new and exciting group within the Ultrasound business division of GE Healthcare, that works on cutting edge digital technologies like ML, IoT, Cloud infrastructure and Device Software. GE Healthcare is a leading global medical technology and digital solutions innovator. Our mission is to improve lives in the moments that matter. Unlock your ambition, turn ideas into world-changing realities, and join an organization where every voice makes a difference, and every difference builds a healthier world.Job DescriptionResponsibilities:In this role you will -Interact with all Product teams, UX, Application and Integration teams to map business requirements to domain requirements and design qualities such as reliability, high performance, intuitive, security, reusability, testability etc.Analyze, design and develop a high quality architecture and design of the entire application supporting multiple browsers like chrome, safari, Mozilla, Edge, IE11 etc and supporting Web and mobile applicationsSupport the development teams on all levels with the right architecture and design of all layers and assist the scrum teams in implementing the taken decisions such as appropriate technology, tools, solutions, workflow, coding standards etc.Responsible and own estimates and technical deliverables by the team ensuring time to time review and guidance to the team and publishing the deliverables including all documentsAdvocate new and current technologies by researching technology trends, creating demonstrators, and elaborating the benefits. Education Qualification :Bachelor's degree (master preferred) in computer science or related field.10+ years of experience in software development.Must Have Skills:In-depth knowledge of user interface models, application design, website functionality, Java, etc Experience in architecting, designing, building UI applications in VUE.JS or React JS, Java script, JQuery, HTML5, CSS3, etcExperience in Vue.js framework and its core principles such as components, reactivity, and the virtual DOM Vue.js ecosystem including Vue CLI, Vuex, Vue Router, and NuxtjsExperience in Micro-frontend, Experience using CSS tools and frameworks such as Bootstrap and Semantic UIExperience in development of applications based on Java, Spring Boot platform Good knowledge in delivering standard, compliant (W3C, XHTML) and accessible (WCAG, 508) websites.Preferred skills:Exp in other UI technologies like AngularJS Experience and best practices for designing, publishing, documenting, analysing, and managing APIs to drive consumption, collaboration, and internal/external reuse.Understanding of CI/CD build environmentExperience with Automated unit test (i.e., JUnit, Mocking frameworks), Test Driven Development (TDD), and Behaviour-driven development (BDD) (i.e., Cucumber).Understanding of Data Analytics and Visualization Tools (i.e., Tableau, Spotfire) will be an added valueExperience in health care domain and healthcare protocols and standards (i.e., DICOM, Hl7, FHIR) will be of added valueInclusion and DiversityGE Healthcare is an Equal Opportunity Employer where inclusion matters. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.We expect all employees to live and breathe our behaviors: to act with humility and build trust lead with transparency deliver with focus, and drive ownership - always with unyielding integrity.Our total rewards are designed to unlock your ambition by giving you the boost and flexibility you need to turn your ideas into world-changing realities. Our salary and benefits are everything you'd expect from an organization with global strength and scale, and you'll be surrounded by career opportunities in a culture that fosters care, collaboration and support.#LI-AB6"
4,Product Designer UI/UX (D Level),Sampoorna Consultants Private Limited,4-8 years,Not Specified,"Skills and qualities required for the jobA spectrum of expertise across the following skills (with a specialism in some areas): Very strong UX and UI skills Able to use Interaction Design & Prototyping to define the order and experience of user's activities Ensures each moment is intentionally created using Micro Interaction Design Designs end-to-end journeys with user needs and data at their heart You can analyse behaviours and appetites using data analysis, MVT & A/B Testing Knowledge of modern, emerging web and mobile UX/UI design patterns and experiences Flourishes in an environment of continuous learning and eager to advance your craft further Good understanding of the technical basics around web and app applications Ability to communicate and collaborate in cross-functional teams"
5,Product Designer UI/UX (E Level),Sampoorna Consultants Private Limited,1-4 years,Not Specified,"You`ll have the following skills & experienceSkills and qualities required for the jobA spectrum of expertise across the following skills (with a specialism in some areas): Very strong UX and UI skills Able to use Interaction Design & Prototyping to define the order and experience of user's activities Ensures each moment is intentionally created using Micro Interaction Design Designs end-to-end journeys with user needs and data at their heart You can analyse behaviours and appetites using data analysis, MVT & A/B Testing Knowledge of modern, emerging web and mobile UX/UI design patterns and experiences Flourishes in an environment of continuous learning and eager to advance your craft further Good understanding of the technical basics around web and app applications Ability to communicate and collaborate in cross-functional teamsExpected Experience & behavioursRequires: At least 5+ years of experience as a product designer (or roles with similar skills) with a good amount of that time working on ecommerce experiences. Ability to take a project from ideation to completion and continually improve a customer experience Experience working in lean agile squadsThe following qualities: Excellent collaboration and communication skills with an intrinsic ability to turn complexity into simplicity Lean approach to action; continually finding ways to deliver more value to the customer and the business with less effort, driving efficient ways of working Entrepreneurial and flexible approach to activities; adapting behaviours and proactively removing barriers to delivering results."
6,Consulting - HC : OT - Senior Consultant - Change Management (CoE- Visual Design),Deloitte,5-7 years,Not Specified,"What impact will you makeEvery day, your work will make an impact that matters, while you thrive in a dynamic culture of inclusion, collaboration and high performance. As the undisputed leader in professional services, Deloitte is where you'll find unrivaled opportunities to succeed and realize your full potential. The TeamToday's business challenges present a new wave of HR, talent, and organization priorities. Deloitte's Human Capital services leverage research, analytics, and industry insights to help design and execute critical programs from business-driven HR to innovative talent, leadership, and change programs. Work you'll doAs a practitioner within the Organization Transformation (OT), you will be expected to perform the following activities within the firm: Perform project tasks independently, and may direct, coach, and supervise the efforts of analysts.Participate in the development of content deliverable that meets the needs of the client and contract.Anticipate client needs and formulate solutions to client issues with appropriate guidance from the manager/director.Maintain and expand client relationships through delivery of high-quality work.Identify and resolve issues critical to the clients strategic and operational success.Contribute to new business proposals, client presentations and proposal development.Manage and seek personal and professional development for self, including expansion of consulting skills and experiences.Manage execution of the day-to-day plan set forth by the Deloitte Human Capital team lead.Provide implementation assistance as required.Contribute to practice building and other internal practice initiatives - additional responsibilities.Work you'll do as Communication CoE professional for Change Management As Communication CoE professional at Deloitte, you will work with internal stakeholders or directly with the clients to manage and support communication and engagement campaigns for large scale transformational and other change management projects. Your role will involve: Create and deliver high quality communications for change management and learning campaigns including WBTs, scenario-based and game-based learning, simulations, rich-media ILTs, digital and print content, and collaterals for different channels and media (Newsletters, PDF Handbooks, Infographics, Mailers, Explainer Videos, Animated Videos, Presentations, UI designs for Websites and Applications, Blogs, Podcasts etc.) that are tailored to project briefs and requirements basis the agreed timeline. Ability to work on multiple communication projects or deliverables with limited oversight.Responsible for visual branding and user experience of deliverablesBeing an excellent communicator and actively participating in discussions with the change team or directly with the client to understand the communication requirement and articulate ideas.Develop content and directs creative execution to provide a consistent, targeted, and impactful message.Contribute ideas for new programs, research and recommend innovative branding techniques.Conceptualize original and unique graphic design art, illustrations, icons, and project brand logos for the clientsAlign and use appropriate images, typography, graphics, and layouts for the project basis the client's brand guidelines. Enable and manage design research, story boarding, brainstorming, and design reference sessions with the team and project stakeholders.Support design of interactive e-learning courses on need basis.Stay on top of the competitive design landscape to better understand the client's objectives and industry trends and share these insights with the design team.Skills RequiredCreative and innovative mind-set.A strong portfolio demonstrating passion for designing modern and aesthetic designs Strong hold on MS Office, Adobe Photoshop, Adobe Illustrator, Adobe InDesign, Adobe After Effects, Adobe Animate, Storyline 360, Rise 360, Adobe Captivate, Camtasia, Vyond, Powtoons, Sparkol, Biteable, Adobe XD and FigmaHas strong creative visualization, conceptualization, and excellent visual storyboarding skillsAbility to share creative inputs while brainstorming on a specific subject/topic within the team and work collaboratively.Proficiency in Visual Design, Motion Design, UI/UX design and its principles (Typography, Composition, Scale, and Color Theory) and working knowledge of how those principles work together.Outstanding verbal, written communication skills and ability to develop persuasive messages based on the information provided.Ability to take initiative, interact with all levels of management and think strategically and artistically.Excellent time and project management skills, including the ability to work on multiple projects at the same time.Relevant work experience of 5-7 years or more as a graphic designer, digital content creator or related role preferably with agency and corporate.Bachelor's in graphic designing/mass communication/marketing/ digital marketing or any other design-related domain. Certification in design related field will be a plus. Your role as a leaderAt Deloitte India, we believe in the importance of leadership at all levels. We expect our people to embrace and live our purpose by challenging themselves to identify issues that are most important for our clients, our people, and for society and make an impact that matters. Develops self by actively seeking opportunities for growth, shares knowledge and experiences with others, and acts as a strong brand ambassador.Understands objectives for clients and Deloitte, aligns own work to objectives and sets personal priorities.Seeks opportunities to challenge self teams with others across businesses and borders to deliver and takes accountability for own and team results.Identifies and embraces our purpose and values and puts these into practice in their professional life.Builds relationships and communicates effectively to positively influence peers and other stakeholdersHow you'll growAt Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there's always room to learn. We offer opportunities to help build world-class skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs at Deloitte University, our professionals have a variety of opportunities to continue to grow throughout their career. BenefitsAt Deloitte, we know that great people make a great organization. We value our people and offer employees a broad range of benefits. Our purposeDeloitte is led by a purpose: To make an impact that matters. Every day, Deloitte people are making a real impact in the places they live and work. We pride ourselves on doing not only what is good for clients, but also what is good for our people and the communities in which we live and work-always striving to be an organization that is held up as a role model of quality, integrity, and positive change."
7,Product Designer UI/UX,Radgo Consulting Private Limited,1-3 years,Not Specified,"Translate concepts into service blueprints, user journeys, wireframes, prototypes and high-fidelity designs  You understand that technical, business, and design constraints & priorities factor into product decisions.  Experience designing digital products and systems, not just websites. You have helped ship products that solve real problems, and that people use.  Strong visual and interaction design skills, combined with a great understanding of web and mobile app patterns and trends  Worked in an agile environment, taking an iterative approach to evolve the product and testing  Participate in frequent design reviews and critiques with developer, product teams, and leadership.  Self-motivated, able to prioritize and manage workload and meet critical project deadlines  Ability to articulate the product vision with great storytelling"
8,User Experience Design User Experience Designer,Accenture,6-8 years,Not Specified,job description is not available for this job
9,SoftwareEngineer - Frontend Developer,HighPoints Technologies India Private Limited,3-10 years,Not Specified,"Expertise in Angular2 development  Good understanding on browser internals  Good knowledge on User Interface (UI) and User Experience (UX)  Shall design and architect frontend applications for performance and scalability  Shall have good knowledge on Design Patterns  Shall have written Unit Test Cases  Experience in integrating with backend services(REST API, MicroServices)  Good experience on Client/Server architecture and Internet Data Flows  Shall worked on SAAS (Software As A Service) based application development  Preferably worked on product developments in Product Companies  Shall have good communication, to interact with product teams and understand business requirements and percolate to developers  Shall groom developers on new technology developments  Shall participate in conducting technical interviews for hiring"
